sample_key,target_group,GRAM_rank,GRAM_Recall@10,GRAM_NDCG@10,GRAM_Recall@50,GRAM_covered,CET_v1_rank,CET_v1_Recall@10,CET_v1_NDCG@10,CET_v1_Recall@50,CET_v1_covered,GACR_v3_rank,GACR_v3_Recall@10,GACR_v3_NDCG@10,GACR_v3_Recall@50,GACR_v3_covered,CET_v1_GACR_v3_rank,CET_v1_GACR_v3_Recall@10,CET_v1_GACR_v3_NDCG@10,CET_v1_GACR_v3_Recall@50,CET_v1_GACR_v3_covered
A100L918633LUO:validation:B004UU9WI2,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A101K1Y5BQJBFZ:validation:B0075XNGGK,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A102QPG7QM1J40:validation:B007RDFO0Y,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A10WBU7X288RZY:validation:B006O6ENAM,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A10YXCJMSJG3QR:validation:B00F4WMA4I,tail,18,0.0,0.0,1.0,1,26,0.0,0.0,1.0,1,12,0.0,0.0,1.0,1,21,0.0,0.0,1.0,1
A1104SH03FMIIW:validation:B007O6M5MO,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A114TMHW9GRMPB:validation:B002Q7IE9O,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A11E0OKCD8WF7L:validation:B0000D12WU,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A11LC938XF35XN:validation:B00GDP58AS,tail,9,1.0,0.3010299956639812,1.0,1,9,1.0,0.3010299956639812,1.0,1,5,1.0,0.38685280723454163,1.0,1,6,1.0,0.3562071871080222,1.0,1
A11MJ0KX52MF98:validation:B007455XDS,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A11PUCHQS3MM97:validation:B005VPRDKE,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A11Q7PYQ87R5Y2:validation:B0015KEB2M,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A120DADS9WILNI:validation:B004N4XV1Y,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A121LLBUHLZ0RD:validation:B00CXEXSUU,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A126ZIW0CAQZRT:validation:B007J3F9U2,tail,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1
A12B1P9NOL71JO:validation:B009D8ZQ9U,tail,8,1.0,0.31546487678572877,1.0,1,8,1.0,0.31546487678572877,1.0,1,8,1.0,0.31546487678572877,1.0,1,8,1.0,0.31546487678572877,1.0,1
A12KG1WB97PFC7:validation:B00009AVLZ,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A12L59NPZYEHCY:validation:B007U7M0WM,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A12XR5TDI2WIJ5:validation:B001W0MZMI,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A12YSUHTXNY9D:validation:B003XJJTB6,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1378ZJMWCTVT3:validation:B00A88F3UQ,tail,2,1.0,0.6309297535714575,1.0,1,3,1.0,0.5,1.0,1,2,1.0,0.6309297535714575,1.0,1,2,1.0,0.6309297535714575,1.0,1
A13DZBDVJIJ4N:validation:B004JLNUZI,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13E8LUTO0RD4Q:validation:B000CBSNRY,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13EXQK7DVEW3R:validation:B002X7D8SO,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13FUJTHNVLJKC:validation:B005PPD1GA,tail,29,0.0,0.0,1.0,1,31,0.0,0.0,1.0,1,24,0.0,0.0,1.0,1,24,0.0,0.0,1.0,1
A13H2ZRENPV9E:validation:B00ANKD7V6,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13KA0HSAV9RQY:validation:B000ETTFTE,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13RHEGN5F5RFK:validation:B00DI4703A,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13VQOHTI1AU8Y:validation:B00186FCX0,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13VV84SULQSUL:validation:B001DZMITW,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13WBUX01Q4D35:validation:2914849656,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A13X4VIMZPP4OP:validation:B000641DPQ,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A144U5041CFKQR:validation:B002ACOQY2,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A145K3YUKXRIIM:validation:B00407FTP0,tail,6,1.0,0.3562071871080222,1.0,1,8,1.0,0.31546487678572877,1.0,1,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1
A14HQZ9UYU2CGB:validation:B007J3ZYV6,tail,,0.0,0.0,0.0,0,18,0.0,0.0,1.0,1,,0.0,0.0,0.0,0,17,0.0,0.0,1.0,1
A14JCJGC2QL0MR:validation:B00AHKMQKK,tail,3,1.0,0.5,1.0,1,3,1.0,0.5,1.0,1,2,1.0,0.6309297535714575,1.0,1,2,1.0,0.6309297535714575,1.0,1
A14JU74UUGJ8GZ:validation:B00153BFA0,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A14KUF0BB1HP2T:validation:B003YD8S7W,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A14NAW3I5WL497:validation:B0000BW58E,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A14PEBC049DKXH:validation:B009B7F6DO,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A14VZPINY2ULRS:validation:B00A6SOCEQ,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A14Z0Q1DU6CBJJ:validation:B00HAKYULS,tail,30,0.0,0.0,1.0,1,26,0.0,0.0,1.0,1,28,0.0,0.0,1.0,1,24,0.0,0.0,1.0,1
A15CDA37U3FX2A:validation:B002ODY1CY,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A15D2X8MICR2VQ:validation:B00IVFCGIA,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A15JT5AUUI6ZUB:validation:B0076TVUUC,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A15P6YW0LNA8S7:validation:B0089RPUHO,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A15SQKU2FU3Q9J:validation:B001639Q50,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A167VW6XC1391H:validation:B00D6N8YGA,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A16ASJBDYR7VFY:validation:B002PEGT9U,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A16F7J9G7MLXNX:validation:B00426VF1Q,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A16K45X7JARLCP:validation:B004MWN0Y0,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A16RI68PS6T5CA:validation:B00BQYQYHC,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A16VJB1IRP9FIG:validation:B004INDQWY,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A16YU3GRGCD95S:validation:B00EAHY1QS,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A170L6TQNFJ0AS:validation:B0026J7EIO,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A17GMEFQ6X5RH2:validation:B00C58ZQGS,tail,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1
A17SPYGB4LVHEY:validation:B004LC1QE2,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A17VQ76LG3FL3V:validation:B00CXEXNL4,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A185GVCGMWD2Y3:validation:B005NC5IFM,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A18CZOIMO2PFVE:validation:B00ATW1JAE,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A18GJ9MYYO6GCQ:validation:B00E5UKNCQ,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A18L1CVUIQRE9L:validation:B0017RUGWW,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A18NXRMU7KYS1W:validation:B0000E2DJD,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A18QT7URS4S1NZ:validation:B007RM5CMK,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,66,0.0,0.0,0.0,1,,0.0,0.0,0.0,0
A18XVVKAE0TWPV:validation:B000RZHGL4,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1906D24J57XYJ:validation:B00CNBGUI0,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1971XCYFN6R0K:validation:B004GY45CK,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A19CZ0C6CPQKYI:validation:B00349MPQQ,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A19GMEHMU9LAJ8:validation:B00AMI5FN2,head,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1,4,1.0,0.43067655807339306,1.0,1
A19I5EON4RHOUM:validation:B00CNBGUHG,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A19PEGVP00VVO:validation:B00804BDCM,head,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1ABFIAD2MYI8G:validation:B00006IJHY,head,5,1.0,0.38685280723454163,1.0,1,4,1.0,0.43067655807339306,1.0,1,5,1.0,0.38685280723454163,1.0,1,4,1.0,0.43067655807339306,1.0,1
A1AET8SKZZ057R:validation:B0074T643C,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1AF4TSD5TIGBH:validation:B0002YDQBY,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
A1AGUB4IUV7MFU:validation:B00204W5L6,tail,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0
