sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm
A03236882LUP4ARMDDMXU:validation:B004ZD2M6I,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A0388397363MZHRU6ALSX:validation:B002KP1WIW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A100VQNP6I54HS:validation:B006Z8B5HS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A100X30Z2GCTEM:validation:B001ECQ4OY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A1010QRG4BH51B:validation:B004OHQR1Q,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A103979529MRJY0U56QI4:validation:B0083QNBCM,head,8,8,1,1.0,0.31546487678572877,1.0,1.0,0.31546487678572877,1.0,0,0
A104BMR0QRIDSZ:validation:B002QY86BI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A105S56ODHGJEK:validation:B00GYB17TC,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0
A106E1N0ZQ4D9W:validation:B006GQHYW4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A108W62SUWQCL4:validation:B00I4ZERGG,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10BSS8EZFU0RZ:validation:B003ZTVDBS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10LDN5UFRET13:validation:B006U95N34,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10QO5HFPTSPPQ:validation:B006SVCY6I,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10UBA4R9UHUCT:validation:B007BLN17K,head,27,26,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A1121T1I50825Z:validation:B003EBNLIA,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A1194J1H29WSV:validation:B0018V1DWE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11J1FHCK5U06J:validation:B00KNIL36E,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11JOUAIMPY3XO:validation:B001MGATUW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11JXVZN2QCAMZ:validation:B007UM8ZGM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11LC938XF35XN:validation:B00I2OR6YE,tail,30,22,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A11PI8JNC3932W:validation:B006GACVYQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11T2JHYTW3CJH:validation:B004JYLHGO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A125KWOKKZG7GA:validation:B004OE9RO8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12EGFV5BBP2C3:validation:B004LUZ956,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12FDPTQO9FVOZ:validation:B003FODWVC,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12J4WQR3GL81C:validation:B00CGQECJ6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12KFVKK4UXYBH:validation:B009U9990E,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12P51JUJ5D9ZR:validation:B00AO4E9MC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12QJRMXA6TOFY:validation:B008T85MU8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12TKA43D62K13:validation:B00B8P5CTA,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12UGBVBI2NI7X:validation:B000NY66DS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12VO1CF8HB7MA:validation:B0018QHW92,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A132ETQPMHQ585:validation:B0000UTUVU,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A135R0GHEPD0IN:validation:B000NE6QP6,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13ATZZ5V156NS:validation:B0016M52EU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13BQLWGS6OVR0:validation:B005OZZO5W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13CU8MG6T51ET:validation:B0083QNBCM,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0
A13IIHXY0QX4Y4:validation:B000PKZG22,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13IRKEEPFTWFM:validation:B0000535RD,head,8,10,1,1.0,0.31546487678572877,1.0,1.0,0.2890648263178879,1.0,1,0
A13J6RW4FQIA8M:validation:B0011UR1H8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A13SGXQNG0Q2ZK:validation:B007IAE5WY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A141W8WHW9AC3H:validation:B00GNA9K3E,head,27,29,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A146H6A41B26QT:validation:B009GEUPDS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14A3FFBG51P6G:validation:B002BWPXGQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A14B4MJ7KZE63B:validation:B0009FHJOG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
