sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm
A105ME60VV2K2W:validation:B005VPH35E,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10C4O0Q0TWXOL:validation:B000P6Q7MY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10DBNGVY8XMGL:validation:B000NVVZYQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10F0D8JQU9WBB:validation:B000BVPW4C,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10OI1L06LJ0KY:validation:B00006408Q,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A10ZIO8DJRWTC4:validation:B0051HBBUK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11635CUI3RRY6:validation:B001BRFFAQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A119NOJLISZUGP:validation:B000GT3RO6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11ABGYL02R8VS:validation:B004305IVE,tail,3,3,1,1.0,0.5,1.0,1.0,0.5,1.0,0,0
A11C0W652QCEQ4:validation:B007XVYSZ2,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11LJJGMMFQZIQ:validation:B00A88EPKU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11QD9H9KTEK45:validation:B004ULKF3W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11WCJN0E6LYW:validation:B00F6N06CS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A11XOIJ7WKSFWV:validation:B000BURAP2,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A120V3YHA2AX9Q:validation:B00000IWDP,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A121LWC0KQAVPE:validation:B0019ICP4Q,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A122I8QFCT9UJA:validation:B00BVED8KI,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0
A1238QFSVUPQ37:validation:B003GTB6IW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12455DQBMT7M9:validation:B004X7N9KE,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A125RJV9U0LF5E:validation:B002OFCW5A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12DO6ZFOVON8G:validation:B0085TZRNI,tail,,95,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A12E0Y0J6584RT:validation:B00EDBYHRE,tail,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0
A12MAAMTXFZ9Y5:validation:B0073RQMBY,tail,6,6,1,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222,1.0,0,0
A12N9I5TB1XYFX:validation:B000VSAEYI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A12URJ8Z6P9Q8S:validation:B004HFGVCK,tail,27,20,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0
A12X2OQQLIZ2FK:validation:B00293AC4A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
