sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,gate_applied,residual_spread
A0614215ICIJ7IVV472R:validation:B0091W3622,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.99893718957901,1,0.32921481132507324
A0908131Z7BWYSMRQ16T:validation:B0069FDR96,head,10,10,1,1.0,0.2890648263178879,1.0,1.0,0.2890648263178879,1.0,0,0,0.7210860848426819,1,0.31570255756378174
A1059MG8KDS2AL:validation:B0067H6JGY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.32515770196914673,1,0.31084364652633667
A10C5CJK1YKGV0:validation:B00A0J09GG,head,29,30,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.41468024253845215,1,0.316116064786911
A10EA0CWQ2AC58:validation:B00EDY0IJM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8942462801933289,1,0.31279391050338745
A10IKD1NJ5UYYP:validation:B003V21WO2,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.21978430449962616,1,0.3170706331729889
A10LKWO19E9V2G:validation:B003S16H5A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9320605397224426,1,0.31487739086151123
A10M94ASQEBL56:validation:B00GTBZWPW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.45593878626823425,1,0.3134920299053192
A10O9LX8PH1J8M:validation:B00027DMI8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9907169938087463,1,0.32535073161125183
A11DLWWD0138XT:validation:B004VMGU8E,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3608560562133789,1,0.3145758807659149
A11LJ8I7OAG5R6:validation:B003MJG19K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7766965627670288,1,0.31434956192970276
A11LNY2OLQSUSV:validation:B00AE07932,head,6,6,1,1.0,0.3562071871080222,1.0,1.0,0.3562071871080222,1.0,0,0,0.8937171697616577,1,0.31510061025619507
A11PKTC7A95ST:validation:B001KYO1QO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5861589312553406,1,0.3142877221107483
A11WYHDB1YEZOX:validation:B00B5LOQZI,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5520944595336914,1,0.31291642785072327
A124ZI1G2QER1D:validation:B00BKH9HRE,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8117063045501709,1,0.3155657649040222
A125XVN95UDZWO:validation:B009T8GA12,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.766823947429657,1,0.31676897406578064
A12AMCBUFJYX9H:validation:B000RYSXWG,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9251959323883057,1,0.31571465730667114
A12EYRFV8UVIYN:validation:B000BD0SEE,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9944714307785034,1,0.3654018044471741
A12FEE2DLDKX28:validation:B001ET76EY,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6874113082885742,1,0.31342798471450806
A12HMEFOXS3XJZ:validation:B003G0UO48,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6216021180152893,1,0.3159383535385132
A13F3AIRL9OZ1G:validation:B003NXM9HS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6289682388305664,1,0.31443291902542114
