sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,residual_spread,safety_multiplier,attenuated
A104SG9QZ92UAH:validation:B0081D76VE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36902567744255066,1.0,0
A1051DBTLWP5A2:validation:B002C4BAHO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3117212653160095,1.0,0
A10A3X3DM3DSWT:validation:B00000DMD2,head,34,31,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.30849209427833557,1.0,0
A10DB8F2M9TTOJ:validation:B006GGCO1K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.37002694606781006,1.0,0
A10L132FI5QHV6:validation:B008FB7PGS,tail,16,16,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.30566349625587463,1.0,0
A10Z8FC0SMU5VQ:validation:B00005O6B7,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31151342391967773,1.0,0
A1170CQK2UKXTO:validation:B000GUEXBG,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3103436827659607,1.0,0
A117A9HZC25ARO:validation:B0013EP1CO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36887186765670776,1.0,0
A11EIDY6DD40CS:validation:B000099Z8H,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3081909418106079,1.0,0
A11FV5SOPO09DK:validation:B009T45X82,head,12,17,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.33174407482147217,1.0,0
A11O9OV93AFEHF:validation:B007XVYSDE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30867260694503784,1.0,0
A11QM8IY2QS1F5:validation:B001RNC1EM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3116927742958069,1.0,0
A11YC5X2KDI12X:validation:B00C2P770W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3272394835948944,1.0,0
