sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,gate_applied,residual_spread
A104SG9QZ92UAH:validation:B0081D76VE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5943752527236938,1,0.35606759786605835
A1051DBTLWP5A2:validation:B002C4BAHO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.46857789158821106,1,0.31605055928230286
A10A3X3DM3DSWT:validation:B00000DMD2,head,34,30,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.4672752618789673,1,0.3105948865413666
A10DB8F2M9TTOJ:validation:B006GGCO1K,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.43904757499694824,1,0.3576424717903137
A10L132FI5QHV6:validation:B008FB7PGS,tail,16,15,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.42720407247543335,1,0.3060533404350281
A10Z8FC0SMU5VQ:validation:B00005O6B7,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36400192975997925,1,0.3050714135169983
A1170CQK2UKXTO:validation:B000GUEXBG,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3840796947479248,1,0.30966347455978394
A117A9HZC25ARO:validation:B0013EP1CO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6776942610740662,1,0.35698211193084717
A11EIDY6DD40CS:validation:B000099Z8H,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.45703980326652527,1,0.3083224892616272
A11FV5SOPO09DK:validation:B009T45X82,head,12,26,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.5681129693984985,1,0.2889302372932434
A11O9OV93AFEHF:validation:B007XVYSDE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4550487995147705,1,0.3031854033470154
A11QM8IY2QS1F5:validation:B001RNC1EM,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.39398524165153503,1,0.3062640428543091
A11YC5X2KDI12X:validation:B00C2P770W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.722492516040802,1,0.3134588301181793
A129PHJ3YO5JH7:validation:B0083TXXZ4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7302301526069641,1,0.3107002377510071
A12F1PQRSJBGPV:validation:161661658X,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5216519832611084,1,0.2903088331222534
A12N345ZBT54K:validation:B005PXVP88,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6300514340400696,1,0.35802245140075684
A12PSNCVDQRWR7:validation:B003EIK136,head,6,5,1,1.0,0.3562071871080222,1.0,1.0,0.38685280723454163,1.0,1,0,0.4192074239253998,1,0.3413090705871582
A12R3UNL31XXBW:validation:B007AR5268,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4214612543582916,1,0.31611767411231995
A139EDZNBVH4AX:validation:B00HB7GRTS,tail,9,7,1,1.0,0.3010299956639812,1.0,1.0,0.3333333333333333,1.0,1,0,0.6962348818778992,1,0.30369800329208374
A13AI6YC5O244F:validation:B00068S82I,tail,5,4,1,1.0,0.38685280723454163,1.0,1.0,0.43067655807339306,1.0,1,0,0.5058754682540894,1,0.34235242009162903
