sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,residual_spread,safety_multiplier,attenuated
A099766128UI0NCS98N1E:validation:B001YTD3G4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28797876834869385,1.0,0
A10220YORA6MUU:validation:B006LRRQK8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28881675004959106,1.0,0
A103584DULBU65:validation:B00GXBEV0A,head,18,16,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.28738468885421753,1.0,0
A103BJIOJSDJL1:validation:B004AIAVYS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34802326560020447,1.0,0
A1047EDJ84IMAS:validation:B00188IFHS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2809658646583557,1.0,0
A10WDRM4UQJ9EO:validation:B002QFGQAK,head,42,42,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.2844063341617584,1.0,0
A10X20OIBA96ND:validation:B003V265QW,head,41,40,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.2847985625267029,1.0,0
A10Y5RD8QNMHEZ:validation:B002C7487U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2885986566543579,1.0,0
A110OOYMFXQPDA:validation:B002H937FW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28840625286102295,1.0,0
A110PQTEI6THU7:validation:B0033VVJSK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2938545048236847,1.0,0
A116ZS3G8HEKQN:validation:B002WTC37A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2881532311439514,1.0,0
A117Y5J7LC8SMP:validation:B000ITQ9WQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2874002754688263,1.0,0
A11HLJWFG5DO8K:validation:B006WVCF40,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28708595037460327,1.0,0
A11HXOFCYE85QE:validation:B0055HK65W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3504987955093384,1.0,0
A11JWVCT7N93NH:validation:B0094GGRTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2864437699317932,1.0,0
A11NYM9RGQ95JA:validation:B000CC08VC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.29035240411758423,1.0,0
A11SPSEM08VIXX:validation:B003EH20ZO,head,17,31,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.287015438079834,1.0,0
A11X1K0H5TXY0V:validation:B000SSNSAS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28323689103126526,1.0,0
A11XGZ5H4NOQTN:validation:B008KYKTFO,head,,76,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.2880971431732178,1.0,0
A11Y1NMAMM89HA:validation:B009K2BC2Y,tail,,78,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.3081684112548828,1.0,0
A1235J5HSC60MW:validation:B0007V9API,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2861591577529907,1.0,0
A124MQESI6PUUT:validation:B005R3IPJI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28834041953086853,1.0,0
A125DHLL6C0V1I:validation:B000143AY8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28842997550964355,1.0,0
A12BJHX83NXLCS:validation:B005K85R5A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28167474269866943,1.0,0
A12CKFYESWGOOJ:validation:B0030HTXTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2894156277179718,1.0,0
A12HACWR7QRA0Y:validation:B00EVM7OJS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28687557578086853,1.0,0
A12IRGQLFE4EBA:validation:B0039UT9QE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.29668334126472473,1.0,0
A12RD9GYU6NYFC:validation:B006YQ40ZA,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.28768643736839294,1.0,0
A12TCY12RMA0YE:validation:B003SRFD04,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2913821339607239,1.0,0
A12TIX7LTFA6KA:validation:B000UGVVHK,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.287876695394516,1.0,0
A12X9UY8B7SEQ6:validation:B0078PXU7U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3483457863330841,1.0,0
A13IEEF3PBMB0H:validation:B0036OJEFO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2928675413131714,1.0,0
A13K7DI5Q7UXSB:validation:B001J9LLX6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.294882208108902,1.0,0
A13LQFHBEWQBE6:validation:B008YRZA24,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.28862929344177246,1.0,0
A140H49J7J4GPA:validation:B00KHH2VOY,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.3027505874633789,1.0,0
A14CJRV4WFT278:validation:B00920E03M,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3491080403327942,1.0,0
A14ENWEKTHCBXR:validation:B008FZ562E,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.29019272327423096,1.0,0
