sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,soft_multiplier,residual_spread
A099766128UI0NCS98N1E:validation:B001YTD3G4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.434399276971817,1.0,0.3392871618270874
A10220YORA6MUU:validation:B006LRRQK8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5458455085754395,1.0,0.339227557182312
A103584DULBU65:validation:B00GXBEV0A,head,18,15,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.8921900987625122,1.0,0.3379194140434265
A103BJIOJSDJL1:validation:B004AIAVYS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.979056179523468,1.0,0.3797059655189514
A1047EDJ84IMAS:validation:B00188IFHS,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6743294596672058,1.0,0.33173975348472595
A10WDRM4UQJ9EO:validation:B002QFGQAK,head,42,41,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.46969059109687805,1.0,0.33710116147994995
A10X20OIBA96ND:validation:B003V265QW,head,41,39,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.5288826823234558,1.0,0.3368176221847534
A10Y5RD8QNMHEZ:validation:B002C7487U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8971564173698425,1.0,0.3570026457309723
A110OOYMFXQPDA:validation:B002H937FW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7608581781387329,1.0,0.33795982599258423
A110PQTEI6THU7:validation:B0033VVJSK,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.48664775490760803,1.0,0.3398936986923218
A116ZS3G8HEKQN:validation:B002WTC37A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3214114308357239,1.0,0.3380947709083557
A117Y5J7LC8SMP:validation:B000ITQ9WQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.05164656043052673,1.0,0.33871352672576904
A11HLJWFG5DO8K:validation:B006WVCF40,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.39379018545150757,1.0,0.33810126781463623
A11HXOFCYE85QE:validation:B0055HK65W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6931906342506409,1.0,0.3801683783531189
A11JWVCT7N93NH:validation:B0094GGRTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6885719895362854,1.0,0.3369888663291931
A11NYM9RGQ95JA:validation:B000CC08VC,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.49450263381004333,1.0,0.33896100521087646
A11SPSEM08VIXX:validation:B003EH20ZO,head,17,38,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.1320178061723709,1.0,0.3383910059928894
A11X1K0H5TXY0V:validation:B000SSNSAS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34237051010131836,1.0,0.33324646949768066
A11XGZ5H4NOQTN:validation:B008KYKTFO,head,,79,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.19084039330482483,1.0,0.33853963017463684
A11Y1NMAMM89HA:validation:B009K2BC2Y,tail,,86,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.8803164958953857,1.0,0.35942673683166504
A1235J5HSC60MW:validation:B0007V9API,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4641140103340149,1.0,0.33793309330940247
A124MQESI6PUUT:validation:B005R3IPJI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8873463869094849,1.0,0.35556837916374207
A125DHLL6C0V1I:validation:B000143AY8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15543228387832642,1.0,0.33917075395584106
A12BJHX83NXLCS:validation:B005K85R5A,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.10816935449838638,1.0,0.33239808678627014
A12CKFYESWGOOJ:validation:B0030HTXTY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9366774559020996,1.0,0.35476529598236084
A12HACWR7QRA0Y:validation:B00EVM7OJS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30564287304878235,1.0,0.33860138058662415
A12IRGQLFE4EBA:validation:B0039UT9QE,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.892715573310852,1.0,0.3550529479980469
A12RD9GYU6NYFC:validation:B006YQ40ZA,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.6523304581642151,1.0,0.3388517498970032
A12TCY12RMA0YE:validation:B003SRFD04,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2905929982662201,1.0,0.3394263684749603
A12TIX7LTFA6KA:validation:B000UGVVHK,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7746603488922119,1.0,0.3390182852745056
A12X9UY8B7SEQ6:validation:B0078PXU7U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.765573263168335,1.0,0.37969455122947693
A13IEEF3PBMB0H:validation:B0036OJEFO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.27638378739356995,1.0,0.3398878574371338
A13K7DI5Q7UXSB:validation:B001J9LLX6,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.49947649240493774,1.0,0.3422932028770447
