sample_key,target_group,baseline_rank,candidate_rank,union_covered,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,changed,broad_harm,gate_probability,soft_multiplier,residual_spread
A034597326Z83X79S50FI:validation:B004W1T8YW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4670576751232147,1.0,0.309349924325943
A1085B05L8F56S:validation:B007SM3582,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5483016967773438,1.0,0.31603047251701355
A10BTP0CXOVTZ:validation:B005KIQE16,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2944251298904419,1.0,0.2716987729072571
A10I05QBEOVVI9:validation:B007HVGD6K,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.5360726118087769,1.0,0.3215394914150238
A10I54XL73TRLK:validation:B00E3ECKGG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5223894119262695,1.0,0.32829731702804565
A10L9NQO44OLOU:validation:B0044T2KBU,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.612649142742157,1.0,0.3237605094909668
A10PEXB6XAQ5XF:validation:1932188126,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.266838014125824,1.0,0.2860666513442993
A10TB10B5FED71:validation:B000NVW07M,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2917814552783966,1.0,0.2765553593635559
A111EZSVVQ1AL9:validation:B004CSD3PU,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3226790428161621,1.0,0.29414796829223633
A112JF58KKB8LP:validation:B003UNWV60,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5693167448043823,1.0,0.3183230757713318
A11FW5TMTDTQO4:validation:B00C6VPC22,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.74099200963974,1.0,0.345679372549057
A11HZR9PO8530U:validation:B006O6EOX8,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6029844880104065,1.0,0.32800060510635376
A11I5FICGS8032:validation:B00000J048,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.434683620929718,1.0,0.3090621829032898
A11IFBSF8AMW9M:validation:B005ZCY36K,head,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.5929914712905884,1.0,0.35983020067214966
A11LNY2OLQSUSV:validation:B00ARWCFFO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6159770488739014,1.0,0.3551616072654724
A11N9M2212IPJ:validation:B0009K6JYW,tail,24,18,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.5427250266075134,1.0,0.33596131205558777
A11NTAJDD9CKAD:validation:B000FAB7I4,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.45941367745399475,1.0,0.31685346364974976
A11SPSEM08VIXX:validation:B00EAHXOWA,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5432928800582886,1.0,0.3273874521255493
A11VQ0T0RHR4BC:validation:B004RQ64Q2,tail,49,42,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.5926975011825562,1.0,0.3612876236438751
A11WMA3BAH72:validation:B00CEUMJ62,head,4,4,1,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,1.0,0,0,0.4949563443660736,1.0,0.31101512908935547
A123SDVPVRUUMZ:validation:B00A850R3W,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5356749296188354,1.0,0.35332033038139343
A124VKWCXT8IO9:validation:B00840LCB4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5845865607261658,1.0,0.360681414604187
A12DKDS7LRQSL:validation:B00BU0AYHS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.46451646089553833,1.0,0.311010479927063
A12EHHZOEG7SLJ:validation:B00B3U7SMO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4525131285190582,1.0,0.31767481565475464
A12G8WFVFU2RGO:validation:B00000K3BR,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6471510529518127,1.0,0.33635878562927246
A12H962PICP3I8:validation:B005VPRDAY,head,20,26,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.46102651953697205,1.0,0.31522879004478455
A12HB5Q1ZI3IXJ:validation:B0057VQXN0,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.30356913805007935,1.0,0.27342113852500916
A12I1XTSARFJW2:validation:B00569DOTO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5624171495437622,1.0,0.33131644129753113
A12KPYPQOJZKX2:validation:B0078XJVR0,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.47306135296821594,1.0,0.3041055202484131
A12P2DIQFEDVTM:validation:B000F3V2MW,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5793676376342773,1.0,0.32035207748413086
A12T92R6PLL8V7:validation:B00021H91U,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34040367603302,1.0,0.2919732332229614
A12VNUQ0KYG1XB:validation:B00CMHWSMW,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6321791410446167,1.0,0.35932862758636475
A131JJUYSKVM4J:validation:B00008PVZG,tail,15,13,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.7661195993423462,1.0,0.3586651682853699
A13293DOYMPAB5:validation:B00C8526SY,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4217226803302765,1.0,0.30593621730804443
A13CIKH3UXEKTP:validation:B0073I1VRS,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5366649627685547,1.0,0.3231986463069916
A13CZE489JKH5:validation:B007RDGKK2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7456150650978088,1.0,0.35110384225845337
A13JMDUWUKM6A1:validation:B00000ITIV,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4572439193725586,1.0,0.3089570999145508
A13KNCFLH0IH2G:validation:B00AA7V1N8,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.640101969242096,1.0,0.31584811210632324
A13KOB3MV0UKP4:validation:B0055PLOS2,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4853672385215759,1.0,0.3065701723098755
A13L503ICIEGOI:validation:B006FSWY46,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.42848068475723267,1.0,0.3078445792198181
A13QCAZEFF68FK:validation:B00EQ0UQCM,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4850848913192749,1.0,0.3232595920562744
A13XBAXB99R1TF:validation:B005HRMYAU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5818839073181152,1.0,0.3279551863670349
A13XSS72WHGQUC:validation:B007R3NTME,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.44160589575767517,1.0,0.3224680423736572
A142R054O5MI9S:validation:B00CI6JPNC,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.32350078225135803,1.0,0.2786898612976074
A143F8QE8SNCKY:validation:B007J3F99S,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7314020395278931,1.0,0.36208364367485046
A14638TGYH7GD9:validation:B00EC901O0,tail,2,2,1,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,0,0,0.4359256625175476,1.0,0.3101322054862976
A1471IW2S85363:validation:B00C5IN4T4,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4250921607017517,1.0,0.30894482135772705
A14DU1XG5WW3YN:validation:B005JTEZGM,tail,33,32,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.4521602392196655,1.0,0.31372031569480896
A14KGTLUYL9B07:validation:B004ZAKXIU,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.45050492882728577,1.0,0.3208848834037781
A14MYITLIZ25X7:validation:B0045H0L1W,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.693822979927063,1.0,0.3220193088054657
A14NMJAR560Q33:validation:B000EOEAFI,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6006185412406921,1.0,0.32574453949928284
A14NQD4RHMM542:validation:B00CS1WD9A,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5622928738594055,1.0,0.3214341402053833
A14TD41I1VY0J9:validation:B006OG75ES,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.31455206871032715,1.0,0.2803140878677368
A14Y50K20PE7VA:validation:B004S6DXKG,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2875394821166992,1.0,0.28586626052856445
A150JNSC0KXI6R:validation:B001EO1T74,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5456381440162659,1.0,0.3294956088066101
A152419GA05GXU:validation:B00BIDJP2W,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5730394124984741,1.0,0.3595151901245117
A1547GEN3CH26U:validation:B0083J768O,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6179714798927307,1.0,0.3469703197479248
A15AQXDR7YBT6V:validation:B003Y55562,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5092085599899292,1.0,0.3156673312187195
A15CYTGJHY8248:validation:B000F676D8,head,4,3,1,1.0,0.43067655807339306,1.0,1.0,0.5,1.0,1,0,0.5539907217025757,1.0,0.33423537015914917
A15DT4CFL1L32Z:validation:B0090BZBSQ,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.47509467601776123,1.0,0.32984650135040283
A15LK8DSFQZZ52:validation:B00CPHX75G,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.41727790236473083,1.0,0.2983654737472534
A15V4TJBVYLK94:validation:B00004UFOO,head,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6548179388046265,1.0,0.33361685276031494
A167VTVMWP0BW8:validation:B006OG74YO,tail,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3578512668609619,1.0,0.2958599925041199
