dataset,sample_key,target_group,history_group,teacher_margin_group,transition_covered,teacher_margin,teacher_target_rank,A_rank_censored51,B_rank_censored51,C_rank_censored51,B_rank_change_vs_A,C_rank_change_vs_A,C_minus_B_rank_change,B_kendall,C_kendall,C_minus_B_kendall,C_null_rate,C_max_abs_delta,teacher_exclusive,A_in_beam50,A_in_top10,A_broad_harm,A_delta_Recall@5,A_delta_NDCG@5,A_delta_Recall@10,A_delta_NDCG@10,A_delta_Recall@50,A_delta_MRR,B_in_beam50,B_in_top10,B_broad_harm,B_delta_Recall@5,B_delta_NDCG@5,B_delta_Recall@10,B_delta_NDCG@10,B_delta_Recall@50,B_delta_MRR,C_in_beam50,C_in_top10,C_broad_harm,C_delta_Recall@5,C_delta_NDCG@5,C_delta_Recall@10,C_delta_NDCG@10,C_delta_Recall@50,C_delta_MRR
Toys,A10YHH9ONC9I5Q:6:B0018OXZF4,tail,long,low,1,0.03266429901123047,7976.0,51.0,51.0,49.0,0.0,2.0,2.0,0.08081632653061224,0.11183673469387755,0.031020408163265303,0.46285714285714286,0.30000001192092896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.02040816326530612
Toys,A113YFEZBA50IM:7:B0042ESIUY,tail,long,low,1,0.06086552143096924,1882.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.13795918367346938,-0.12816326530612246,0.009795918367346917,0.5028571428571429,0.30000001192092896,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,A116J28MIS03J5:2:B00000IWHG,head,short,low,1,0.02500593662261963,10954.0,51.0,51.0,51.0,0.0,0.0,0.0,0.03183673469387755,0.06285714285714286,0.03102040816326531,0.4514285714285714,0.29999998211860657,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,A11WYHDB1YEZOX:3:B003YC9570,tail,short,high,1,0.0761103630065918,4109.0,51.0,51.0,51.0,0.0,0.0,0.0,-0.07918367346938776,-0.09387755102040816,-0.014693877551020404,0.5142857142857142,0.30000001192092896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,A127GZ51PD786F:2:B004Z7H14M,head,short,low,1,0.046232640743255615,18.0,1.0,1.0,2.0,0.0,-1.0,-1.0,-0.10693877551020409,-0.08897959183673469,0.017959183673469395,0.5114285714285715,0.30000001192092896,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,-0.36907024642854247,0.0,-0.36907024642854247,0.0,-0.5
Toys,A12QYV3ARZX9TA:2:B0051U86Z0,tail,short,low,1,0.03580892086029053,3488.0,36.0,34.0,47.0,2.0,-11.0,-13.0,0.12163265306122449,0.16244897959183674,0.04081632653061225,0.44285714285714284,0.29999998211860657,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0016339869281045763,1,0,0,0.0,0.0,0.0,0.0,0.0,-0.006501182033096926
Toys,A148F4ZOSD82OW:1:B004S8F7QM,head,short,low,1,0.024358093738555908,10937.0,9.0,13.0,14.0,-4.0,-5.0,-1.0,0.03183673469387755,0.025306122448979593,-0.006530612244897958,0.4657142857142857,0.29999998211860657,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,-1.0,-0.3010299956639812,0.0,-0.03418803418803418,1,0,1,0.0,0.0,-1.0,-0.3010299956639812,0.0,-0.03968253968253968
Toys,A164O47CXA68XZ:2:B006O6EOTW,head,short,high,1,0.2351582646369934,4129.0,51.0,51.0,8.0,0.0,43.0,43.0,0.03346938775510204,0.03510204081632653,0.0016326530612244886,0.45714285714285713,0.30000001192092896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,1.0,0.31546487678572877,1.0,0.125
Toys,A16A49TPIHCKFO:4:B005J146MI,tail,short,low,1,0.019759058952331543,7244.0,28.0,29.0,30.0,-1.0,-2.0,-1.0,-0.08408163265306122,-0.11510204081632654,-0.031020408163265317,0.44285714285714284,0.30000001192092896,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,-0.0012315270935960576,1,0,0,0.0,0.0,0.0,0.0,0.0,-0.0023809523809523794
Toys,A16DMD58142HZ2:2:B001PPBC92,tail,short,low,1,0.040161848068237305,4.0,51.0,51.0,51.0,0.0,0.0,0.0,0.04163265306122449,-0.04816326530612245,-0.08979591836734693,0.46285714285714286,0.29999998211860657,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
