dataset,dimension,stratum,n,mean_teacher_mass_error,ci95_low,ci95_high,max_teacher_mass_error,interval_method
Toys,depth,1,61,2.2473882456294824e-08,1.3679754538614242e-08,3.2245135698162144e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Toys,depth,2,75,2.940495808919271e-08,1.9073486328125e-08,3.9736429850260414e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Toys,depth,3,77,1.2385380732548702e-08,6.192690366274351e-09,1.9352157394607346e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Toys,depth,4,37,4.832809035842483e-09,0.0,1.1276554416965795e-08,5.960464477539063e-08,bootstrap seed=2023 B=10000
Toys,depth,5,3,0.0,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Toys,depth,6,3,0.0,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Toys,legal_children_bin,17-64,173,2.342841528743678e-08,1.7571311465577584e-08,2.9630054628228864e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Toys,legal_children_bin,2-4,41,1.4537718237900153e-09,0.0,4.3613154713700455e-09,5.960464477539063e-08,bootstrap seed=2023 B=10000
Toys,legal_children_bin,5-16,30,5.960464477539063e-09,0.0,1.1920928955078126e-08,5.960464477539063e-08,bootstrap seed=2023 B=10000
Toys,legal_children_bin,>64,12,3.476937611897787e-08,9.934107462565104e-09,6.457169850667317e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Beauty,depth,1,105,2.4409521193731398e-08,1.6462235223679317e-08,3.292447044735863e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Beauty,depth,2,103,2.314743486422937e-08,1.6203204404960558e-08,3.0670351195103913e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Beauty,depth,3,34,3.506155575022978e-09,0.0,8.765388937557445e-09,5.960464477539063e-08,bootstrap seed=2023 B=10000
Beauty,depth,4,10,0.0,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,depth,5,3,0.0,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,depth,8,1,0.0,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,legal_children_bin,17-64,23,2.8506569240404213e-08,1.2957531472911005e-08,4.664711330247962e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
Beauty,legal_children_bin,2-4,39,0.0,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,legal_children_bin,5-16,13,1.3754918025090145e-08,0.0,2.750983605018029e-08,5.960464477539063e-08,bootstrap seed=2023 B=10000
Beauty,legal_children_bin,>64,181,2.3380827508578643e-08,1.7774368517965252e-08,2.9308361243147878e-08,1.1920928955078125e-07,bootstrap seed=2023 B=10000
