dataset,dimension,stratum,metric,n,effect,ci95_low,ci95_high,interval_method
Toys,target_group,head,C_minus_B_kendall,128,-0.007321428571428571,-0.02065051020408163,0.006543367346938776,bootstrap seed=2023 B=10000
Toys,target_group,head,B_rank_change_vs_A,128,-0.53125,-1.03125,-0.0703125,bootstrap seed=2023 B=10000
Toys,target_group,head,C_rank_change_vs_A,128,0.15625,-0.7265625,1.1875,bootstrap seed=2023 B=10000
Toys,target_group,head,C_minus_B_rank_change,128,0.6875,-0.3828125,1.84375,bootstrap seed=2023 B=10000
Toys,target_group,head,B_broad_harm,128,0.0234375,0.0,0.0546875,bootstrap seed=2023 B=10000
Toys,target_group,head,C_broad_harm,128,0.046875,0.015625,0.0859375,bootstrap seed=2023 B=10000
Toys,target_group,tail,C_minus_B_kendall,128,-0.008992346938775509,-0.023661352040816326,0.005319196428571424,bootstrap seed=2023 B=10000
Toys,target_group,tail,B_rank_change_vs_A,128,-0.140625,-0.3515625,0.0703125,bootstrap seed=2023 B=10000
Toys,target_group,tail,C_rank_change_vs_A,128,0.0859375,-0.6171875,0.8046875,bootstrap seed=2023 B=10000
Toys,target_group,tail,C_minus_B_rank_change,128,0.2265625,-0.375,0.8828125,bootstrap seed=2023 B=10000
Toys,target_group,tail,B_broad_harm,128,0.0078125,0.0,0.0234375,bootstrap seed=2023 B=10000
Toys,target_group,tail,C_broad_harm,128,0.015625,0.0,0.0390625,bootstrap seed=2023 B=10000
Toys,history_group,short,C_minus_B_kendall,133,-0.006420131962559458,-0.019825379775970542,0.007561761546723956,bootstrap seed=2023 B=10000
Toys,history_group,short,B_rank_change_vs_A,133,-0.12030075187969924,-0.5112781954887218,0.21052631578947367,bootstrap seed=2023 B=10000
Toys,history_group,short,C_rank_change_vs_A,133,-0.17293233082706766,-1.0676691729323309,0.8345864661654135,bootstrap seed=2023 B=10000
Toys,history_group,short,C_minus_B_rank_change,133,-0.05263157894736842,-1.0300751879699248,1.0225563909774436,bootstrap seed=2023 B=10000
Toys,history_group,short,B_broad_harm,133,0.007518796992481203,0.0,0.022556390977443608,bootstrap seed=2023 B=10000
Toys,history_group,short,C_broad_harm,133,0.03007518796992481,0.007518796992481203,0.06015037593984962,bootstrap seed=2023 B=10000
Toys,history_group,long,C_minus_B_kendall,123,-0.010034843205574915,-0.024423759747801557,0.004048780487804874,bootstrap seed=2023 B=10000
Toys,history_group,long,B_rank_change_vs_A,123,-0.5691056910569106,-0.967479674796748,-0.1951219512195122,bootstrap seed=2023 B=10000
Toys,history_group,long,C_rank_change_vs_A,123,0.43902439024390244,-0.21138211382113822,1.170731707317073,bootstrap seed=2023 B=10000
Toys,history_group,long,C_minus_B_rank_change,123,1.008130081300813,0.2845528455284553,1.8130081300813008,bootstrap seed=2023 B=10000
