dataset,sample_key,prefix,legal_children,teacher_mass_error
Beauty,A109R5OGVEV96V:4:B003VHYRCQ,0 15405 6811,4,0.0
Beauty,A10UHQH1YL5Q6B:6:B006AU1XAA,0,108,5.960464477539063e-08
Beauty,A11UWNENP9S93E:5:B002PBHQP4,0 26190,59,0.0
Beauty,A12UW5M48FQW6I:4:B001PUI2VI,0 22188,42,5.960464477539063e-08
Beauty,A12VPAGE4NL1YP:17:B0045K1N8E,0 2195,28,0.0
Beauty,A12VPAGE4NL1YP:3:B003VMUIGK,0,108,0.0
Beauty,A12WKGUW2XR8XH:1:B000PKWAWQ,0 687,58,5.960464477539063e-08
Beauty,A13Q73QFDEBO1N:2:B004CZXL9Q,0,108,0.0
Beauty,A14638TGYH7GD9:14:B00HADEHUO,0,108,0.0
Beauty,A14NA0W8ESGDSI:9:B009LOJ5MA,0,108,5.960464477539063e-08
Beauty,A15EXMQLL53XVT:2:B000BW4U58,0,108,0.0
Beauty,A186AQB45BAWZN:8:B000O902LY,0 643,212,0.0
Beauty,A1913SKF2ZYEBJ:1:B0035LT8WM,0 1453 8887 3005,4,0.0
Beauty,A19E7ZX9RYUI3F:9:B00006IV30,0 12535,97,5.960464477539063e-08
Beauty,A19UTUEBWKIZFT:100:B00ENJN8S0,0 1580,112,0.0
Beauty,A1AG7F4Z1EOO5L:3:B007DGRT3K,0 11477 3924,8,5.960464477539063e-08
Beauty,A1AHG23GNXBYYY:11:B002RXW5BA,0 20725,104,0.0
Beauty,A1AU1G8U8IPXX2:2:B001A82DYC,0 1580,112,5.960464477539063e-08
Beauty,A1CEY9FUPMW9ZI:6:B004DJUHMA,0,108,0.0
Beauty,A1CRXCI3SAVCGV:8:B001B4NBOQ,0,108,0.0
Beauty,A1CRXCI3SAVCGV:9:B001NYMTOC,0,108,0.0
Beauty,A1DC1O4VX6AHPP:1:B00016X604,0,108,0.0
Beauty,A1DCNXNF0JWB5T:8:B0056FL4FY,0,108,0.0
Beauty,A1DN2GHO5B7CLW:6:B0017BI7NS,0,108,0.0
Beauty,A1DV7ZGBNFX0Q3:2:B004DKAYUE,0 9763,38,0.0
Beauty,A1E1LEVQ9VQNK:8:B000US084U,0 8181,89,0.0
Beauty,A1EGI4DHOH1GE:1:B005C1C02S,0,108,0.0
Beauty,A1F7YU6O5RU432:12:B000C211H2,0,108,5.960464477539063e-08
Beauty,A1GW922HWTQRNC:3:B0002VHBTU,0 15496 9773,5,0.0
Beauty,A1H7Z1FEBNVGW4:13:B000QA7HNC,0 23159 13650,7,0.0
Beauty,A1HEB1RHNOB4HK:3:B001H963MW,0 6453,49,1.1920928955078125e-07
Beauty,A1HF7HD4IO7ZJI:3:B00838FLXW,0,108,0.0
Beauty,A1HFBMPKP8MYPM:1:B000052YMG,0,108,1.1920928955078125e-07
Beauty,A1I12P53XRMJP0:4:B0007XFB2W,0 643,212,0.0
Beauty,A1I38R0IPPOQXB:1:B00027D6SE,0,108,0.0
Beauty,A1I9TV0T19VJWK:1:B002JSL6QI,0 1268 7704,2,0.0
Beauty,A1IG06T98FQ2IS:2:B003GMVD96,0 8181,89,0.0
Beauty,A1IRC2IO5NDV4H:6:B0006PJTB0,0,108,1.1920928955078125e-07
Beauty,A1IZT8R23F819J:1:B002PBGBB4,0 5949,97,1.1920928955078125e-07
Beauty,A1JHGHQW6YCOZ0:1:B008U12YV4,0 7282 4339,3,0.0
Beauty,A1JTGI1L4JFWG:9:B005HO0A1I,0 18311,118,5.960464477539063e-08
Beauty,A1L1G43JLNJR3Y:6:B000Y1JT8E,0,108,0.0
Beauty,A1LNYS2NCFHJW:2:B004VMGT2Q,0 2036,58,5.960464477539063e-08
Beauty,A1LOKACLIE4GBF:8:B0018BTA2Y,0,108,0.0
Beauty,A1NMFEPS85DST0:2:B001MA7QFO,0 16875,41,5.960464477539063e-08
Beauty,A1O07719YMF6L1:2:B003TXZSU2,0,108,0.0
