dataset,sample_key,prefix,legal_children,teacher_mass_error
Toys,A11G2ZH0OXPNKV:1:B000AM2K56,0 467 1476,186,0.0
Toys,A11UKK38O196PP:1:B0037UWGWK,0,30,5.960464477539063e-08
Toys,A13AEVWGNTJDPG:1:B00AHAJGXK,0,30,0.0
Toys,A13MZ8L5DC4JHC:1:B002YI6FC8,0 740,53,0.0
Toys,A13TQCPGBIZHGQ:2:B00C58IAFC,0 2412 1026,24,0.0
Toys,A13W9RXN8Z6F4J:4:B000FPHGW0,0,30,5.960464477539063e-08
Toys,A14A08BE9EVH1M:1:1933054395,0 2100 1073,31,0.0
Toys,A14DNCG5WHM86Z:32:B00CJHZRW8,0 16352,25,1.1920928955078125e-07
Toys,A16A81C3ELWURB:3:B00005UNAV,0,30,1.1920928955078125e-07
Toys,A16B4Y9FEFZHIQ:3:B0027CS7BI,0 3127 4223 6644,2,0.0
Toys,A16MNAUMOFXBBM:12:B0006PJ0JG,0 21677,25,0.0
Toys,A16VKDH5Q1R8WO:2:B00BNQEVXM,0 1041,27,1.1920928955078125e-07
Toys,A16Z8BC0WQB0RD:4:B004Q6IDP8,0,30,0.0
Toys,A17SN5WJ6RRKV1:2:B000SQNAQC,0 3186,21,0.0
Toys,A18LURVBV82KW2:8:B00CKH9SEK,0 3203 9052,21,5.960464477539063e-08
Toys,A19WEEGB05YAZ3:12:B005XLN97M,0 9062,26,5.960464477539063e-08
Toys,A1BYMJ1L55TR74:3:B000GKXWZO,0 17582,24,0.0
Toys,A1C02Z83O2MJHO:16:B00004TYF2,0 467 895 12540,6,0.0
Toys,A1DVPPJFMIVKXZ:1:B00AOHDC4A,0 14295 4232,96,0.0
Toys,A1E5WXNTI7EO2A:8:B00ARQW1O0,0 17582 1464 8453,2,0.0
Toys,A1FDGTMD25Z2SJ:1:B00008MIGQ,0,30,0.0
Toys,A1FDRF4X6XK7YB:2:B00B2HGOEQ,0 740 23693 4793 23997,2,0.0
Toys,A1FQNNX80WYWKR:10:B000GBNXA2,0 26190,29,5.960464477539063e-08
Toys,A1FQNNX80WYWKR:20:B001PGP34G,0 2100 687,18,0.0
Toys,A1FQNNX80WYWKR:46:B000DH333G,0 14351,25,1.1920928955078125e-07
Toys,A1G6MKZORYFPCJ:3:B002AHOY94,0 2341,23,0.0
Toys,A1GCFTFXELCHRP:3:8499000606,0 3127 21622,21,0.0
Toys,A1GF0Q8VRMJDNF:21:B007Q0OUZ8,0,30,0.0
Toys,A1GJHYOS9T56GR:4:B000V825HM,0 740 615,25,0.0
Toys,A1GXJW4152V4LJ:2:B000S1CF5E,0 3186 10451,9,0.0
Toys,A1HX7TOA3H1FC1:2:B003YALJJE,0,30,0.0
Toys,A1I3V27PM18LJF:4:B001W0J17K,0 2244 13243,16,0.0
Toys,A1I7X9OCFFF5M9:5:B000283X3G,0,30,0.0
Toys,A1IBKN1GXYJ3K4:16:B002NPBT50,0,30,0.0
Toys,A1ICE733PRQHWF:14:B002VUC1DQ,0 1041 5638,63,0.0
Toys,A1JHXOJ6203FDL:3:B0021GBBFE,0,30,5.960464477539063e-08
Toys,A1KDU8GVKJAJV8:4:B0007Y4DLG,0 3186,21,0.0
Toys,A1KI3173CO6TK2:5:B004Z1JUJ2,0 14351 9760 21567,3,0.0
Toys,A1KUOIHEOZ7C0C:1:B000BNC9P0,0,30,0.0
