user_id	baseline_nll	fused_nll	delta
AQW172A5SG5OC	0.9453396201	0.9466979504	0.0013583302
A3E9UK6ANIX73Q	1.8760405779	1.8769906759	0.0009500980
A38N7SFDOB3MR3	2.6735894680	2.6721751690	-0.0014142990
A1BR7B2D7QXL83	1.7589133978	1.7700141668	0.0111007690
A3JLBL62FPGY98	1.2996963263	1.3045450449	0.0048487186
A3VNB1W7N079T2	2.0545063019	2.0606870651	0.0061807632
A1P9UMP1XSE6MI	0.9664108157	0.9552259445	-0.0111848712
A18AO94P2ZIEF3	2.7854700089	2.8323771954	0.0469071865
A2BRAVOAYRHDVR	2.1429300308	2.1477439404	0.0048139095
A2F0AYUD1X0AMV	0.3192388117	0.3150643408	-0.0041744709
A2B8O4VOUC1Y5B	1.4206041098	1.4050508738	-0.0155532360
A1LG1DKUZXGJ6J	1.2887893915	1.2906547785	0.0018653870
A18CF71GKLDS48	1.9142318964	1.9195924997	0.0053606033
A2BFEMPHZAZE80	0.1852684468	0.1738364697	-0.0114319772
A2UAQ83AY3C3CY	2.3302013874	2.3331367970	0.0029354095
A7EJERNB7IK3Z	1.5506277084	1.5524635315	0.0018358231
A3MKKQT9ECS0S6	0.9456050992	0.9436625838	-0.0019425154
A279XQT50MB44R	1.7206872702	1.7378894091	0.0172021389
A2B0KZ54I63XNX	1.1951268911	1.1962962151	0.0011693239
A1D8KV88A3D7IZ	0.9042987227	0.9006619453	-0.0036367774
A1CYKFUPE5ZGBA	0.9710996151	0.9736774564	0.0025778413
A2X6FC7OXFB61U	1.2400709391	1.2252491713	-0.0148217678
A37XBQWYQ1N1FF	0.8617092967	0.8500431180	-0.0116661787
A3FGWQHVQGOAGL	1.5326886177	1.5316683054	-0.0010203123
A17LDNW8GIFID1	1.5147548914	1.5073156357	-0.0074392557
AK9N3O4FT8DNQ	2.0371742249	2.0421593189	0.0049850941
A198M311Q3VRYF	2.1048009396	2.1090247631	0.0042238235
AN05GBGE65X9J	0.3134324849	0.3125222027	-0.0009102821
A35NGY49ZY896M	1.4339801073	1.4460376501	0.0120575428
A1BP92HYW0HQST	1.9924000502	1.9913445711	-0.0010554790
A144U5041CFKQR	2.3149049282	2.3344762325	0.0195713043
A3VAGT9TQUS9WE	2.2454478741	2.2405893803	-0.0048584938
A2RXOQQCU6Z2X8	1.7776433229	1.7799049616	0.0022616386
A2OETFZ7IA6XSQ	2.2459115982	2.2535037994	0.0075922012
A1N03V52IRZ5PR	1.0117238760	1.0198968649	0.0081729889
A17B2QIN8RVRBJ	7.9876227379	7.9493393898	-0.0382833481
AO9XKAUG5XH22	1.6508961916	1.6454480886	-0.0054481030
A3G7BEJJCPD6DS	2.0910904408	2.0972819328	0.0061914921
A1V23RXLRBR73T	1.8597970009	1.8827357292	0.0229387283
A3N9DRV2RSEU6Y	1.4018745422	1.4006956816	-0.0011788607
A25OJH02IZ86EP	1.3680058718	1.3764252663	0.0084193945
A2OD23539QMZS5	1.7794021368	1.7875442505	0.0081421137
A2M87ULJS7K5TQ	1.3258504868	1.3280978203	0.0022473335
A2R9PCIR3X3CAC	0.7468921542	0.7528874278	0.0059952736
A1CM9DM8R7ODFX	0.1369026154	0.1395696104	0.0026669949
A2CBPT24N2SQDJ	1.2832509279	1.2823407650	-0.0009101629
A9RTRKZM3IEOY	1.2522646189	1.2528806925	0.0006160736
A3BRSKXH5657SJ	2.5782763958	2.5793433189	0.0010669231
A2NN8PP67SRX44	1.0507110357	1.0423299074	-0.0083811283
A2J8P71K1DWF6J	0.8217062950	0.8214361668	-0.0002701283
A3SU0OXYEQXLEK	0.3729309142	0.3479512930	-0.0249796212
A316PEISP38C8O	1.9047174454	1.9042047262	-0.0005127192
A3ARXE2KRSM0VF	1.7828817368	1.7827609777	-0.0001207590
AQ1XM9TPJZ5MR	1.2489048243	1.2495189905	0.0006141663
AW9BJULSBM5Q	3.8614444733	3.8556392193	-0.0058052540
A3UKTZTJRBF719	2.7991211414	2.7981498241	-0.0009713173
A2WP8B9T3X61P0	1.0590450764	1.0492618084	-0.0097832680
A2AVTJPQVX4OWG	1.0943855047	1.1101154089	0.0157299042
A5V4PMU0M4ILG	0.8990221024	0.8983502388	-0.0006718636
A3M450F1MI9G5X	1.7966839075	1.7983369827	0.0016530752
A1AGUB4IUV7MFU	1.8530648947	1.8642178774	0.0111529827
ARIDN94LOCQFD	2.6316995621	2.6564083099	0.0247087479
A38K7SSI5890AP	1.9019123316	1.9051542282	0.0032418966
A1KHLGSQO7G7J0	3.1672439575	3.1657752991	-0.0014686584
AEXG2O420LTLY	1.2646918297	1.2686077356	0.0039159060
A1O9TQSCKSLG9J	2.0131709576	2.0119278431	-0.0012431145
APB9ABGPIWISR	4.8645434380	4.9021735191	0.0376300812
ARJ30AM9A4VPS	1.6252576113	1.6274776459	0.0022200346
A3MJ6KO3BG5PSX	1.2509019375	1.2433422804	-0.0075596571
A2ILF5254TTZ98	2.0776224136	2.0800902843	0.0024678707
ADLYO655RWJUI	1.2253923416	1.2227603197	-0.0026320219
A1VSD1TTO9LTA6	1.5386835337	1.5450457335	0.0063621998
A4PPZNQF1X2IY	1.6337958574	1.6172555685	-0.0165402889
A2XOGLJ3V3X7DR	1.4498113394	1.4285365343	-0.0212748051
A2H2W4UV8OHUDI	0.8268305659	0.8367757797	0.0099452138
A7YLDDB1MZP8H	1.6199194193	1.6103178263	-0.0096015930
A1KU2VHK8BECRW	0.9893742204	0.9866210818	-0.0027531385
AK9QPADLB9CV0	0.6763380170	0.6862549186	0.0099169016
A2I1B7GHNP1JTA	2.7841157913	2.7774789333	-0.0066368580
A234HXDATOAYEY	2.0214130878	2.0225017071	0.0010886192
A2IJZWRR8GJ9A	1.4771451950	1.4867639542	0.0096187592
A4ONPTKOHKXPB	0.9621654153	0.9367397428	-0.0254256725
ALYO802XSAPL7	2.4189541340	2.4225246906	0.0035705566
ASSJWXLNP773X	4.1049575806	4.1094698906	0.0045123100
A31ORAA66G2I2P	0.2441757172	0.2338698059	-0.0103059113
AUMB4GTLYFGY9	1.5182565451	1.5064247847	-0.0118317604
A139KRFZTCSJE6	1.7983317375	1.7979516983	-0.0003800392
