user_id	baseline_nll	fused_nll	delta
AQW172A5SG5OC	0.9455607533	0.9456534386	0.0000926852
A3E9UK6ANIX73Q	1.8757728338	1.8757840395	0.0000112057
A38N7SFDOB3MR3	2.6730222702	2.6736805439	0.0006582737
A1BR7B2D7QXL83	1.7584657669	1.7590762377	0.0006104708
A3JLBL62FPGY98	1.2994303703	1.2995638847	0.0001335144
A3VNB1W7N079T2	2.0546324253	2.0547344685	0.0001020432
A1P9UMP1XSE6MI	0.9663056731	0.9663015008	-0.0000041723
A18AO94P2ZIEF3	2.7854516506	2.7852611542	-0.0001904964
A2BRAVOAYRHDVR	2.1429603100	2.1428754330	-0.0000848770
A2F0AYUD1X0AMV	0.3193025589	0.3194356263	0.0001330674
A2B8O4VOUC1Y5B	1.4207442999	1.4206447601	-0.0000995398
A1LG1DKUZXGJ6J	1.2887929678	1.2888995409	0.0001065731
A18CF71GKLDS48	1.9142729044	1.9143047333	0.0000318289
A2BFEMPHZAZE80	0.1852474958	0.1852528453	0.0000053495
A2UAQ83AY3C3CY	2.3303515911	2.3296182156	-0.0007333755
A7EJERNB7IK3Z	1.5505464077	1.5505684614	0.0000220537
A3MKKQT9ECS0S6	0.9455431104	0.9455435872	0.0000004768
A279XQT50MB44R	1.7208086252	1.7207461596	-0.0000624657
A2B0KZ54I63XNX	1.1951761246	1.1952433586	0.0000672340
A1D8KV88A3D7IZ	0.9043922424	0.9042155743	-0.0001766682
A1CYKFUPE5ZGBA	0.9710333943	0.9711173177	0.0000839233
A2X6FC7OXFB61U	1.2400400639	1.2401137352	0.0000736713
A37XBQWYQ1N1FF	0.8617464900	0.8617076874	-0.0000388026
A3FGWQHVQGOAGL	1.5327516794	1.5326604843	-0.0000911951
A17LDNW8GIFID1	1.5149739981	1.5148420334	-0.0001319647
AK9N3O4FT8DNQ	2.0369699001	2.0369462967	-0.0000236034
A198M311Q3VRYF	2.1050751209	2.1046807766	-0.0003943443
AN05GBGE65X9J	0.3134284317	0.3133092225	-0.0001192093
A35NGY49ZY896M	1.4339119196	1.4340095520	0.0000976324
A1BP92HYW0HQST	1.9925383329	1.9924846888	-0.0000536442
A144U5041CFKQR	2.3149094582	2.3145358562	-0.0003736019
A3VAGT9TQUS9WE	2.2457463741	2.2457215786	-0.0000247955
A2RXOQQCU6Z2X8	1.7777198553	1.7777916193	0.0000717640
A2OETFZ7IA6XSQ	2.2458755970	2.2459709644	0.0000953674
A1N03V52IRZ5PR	1.0116645098	1.0120414495	0.0003769398
A17B2QIN8RVRBJ	7.9870638847	7.9873404503	0.0002765656
AO9XKAUG5XH22	1.6512683630	1.6513313055	0.0000629425
A3G7BEJJCPD6DS	2.0910983086	2.0912725925	0.0001742840
A1V23RXLRBR73T	1.8598785400	1.8600369692	0.0001584291
A3N9DRV2RSEU6Y	1.4016908407	1.4019637108	0.0002728701
A25OJH02IZ86EP	1.3677908182	1.3675851822	-0.0002056360
A2OD23539QMZS5	1.7794724703	1.7794610262	-0.0000114441
A2M87ULJS7K5TQ	1.3260096312	1.3259409666	-0.0000686646
