user_id	split	history_length	target_frequency	baseline_rank	fused_rank
AQW172A5SG5OC	evaluation	5	10	42	42
A3E9UK6ANIX73Q	evaluation	3	38	51	51
A38N7SFDOB3MR3	evaluation	8	5	51	51
A1BR7B2D7QXL83	calibration	6	12	51	51
A3JLBL62FPGY98	calibration	6	14	51	51
A3VNB1W7N079T2	evaluation	7	5	51	51
A1P9UMP1XSE6MI	evaluation	12	52	30	17
A18AO94P2ZIEF3	calibration	3	3	51	51
A2BRAVOAYRHDVR	evaluation	13	6	51	51
A2F0AYUD1X0AMV	evaluation	3	119	3	1
A2B8O4VOUC1Y5B	evaluation	3	16	51	51
A1LG1DKUZXGJ6J	evaluation	20	26	51	51
A18CF71GKLDS48	evaluation	5	5	51	51
A2BFEMPHZAZE80	evaluation	3	27	1	1
A2UAQ83AY3C3CY	calibration	3	3	51	51
A7EJERNB7IK3Z	evaluation	20	22	51	51
A3MKKQT9ECS0S6	evaluation	3	42	29	48
A279XQT50MB44R	evaluation	3	4	51	51
A2B0KZ54I63XNX	evaluation	3	32	51	51
A1D8KV88A3D7IZ	calibration	3	139	18	13
A1CYKFUPE5ZGBA	evaluation	4	12	34	29
A2X6FC7OXFB61U	evaluation	3	8	51	51
A37XBQWYQ1N1FF	evaluation	12	3	23	42
A3FGWQHVQGOAGL	evaluation	10	19	51	51
A17LDNW8GIFID1	calibration	3	3	51	51
AK9N3O4FT8DNQ	evaluation	5	50	51	51
A198M311Q3VRYF	evaluation	3	12	51	51
AN05GBGE65X9J	evaluation	4	23	3	1
A35NGY49ZY896M	evaluation	4	12	51	51
A1BP92HYW0HQST	evaluation	6	4	51	51
A144U5041CFKQR	evaluation	6	4	51	51
A3VAGT9TQUS9WE	evaluation	4	3	51	51
A2RXOQQCU6Z2X8	evaluation	8	23	51	51
A2OETFZ7IA6XSQ	evaluation	3	3	51	51
A1N03V52IRZ5PR	calibration	3	26	51	51
A17B2QIN8RVRBJ	evaluation	6	2	51	51
AO9XKAUG5XH22	evaluation	4	10	51	51
A3G7BEJJCPD6DS	evaluation	17	25	51	51
A1V23RXLRBR73T	calibration	15	14	51	51
A3N9DRV2RSEU6Y	evaluation	6	11	51	51
A25OJH02IZ86EP	evaluation	7	3	51	51
A2OD23539QMZS5	evaluation	4	27	51	51
A2M87ULJS7K5TQ	evaluation	3	12	51	51
A2R9PCIR3X3CAC	evaluation	3	17	17	11
A1CM9DM8R7ODFX	evaluation	3	12	1	1
A2CBPT24N2SQDJ	evaluation	3	8	51	51
A9RTRKZM3IEOY	evaluation	4	29	51	51
A3BRSKXH5657SJ	evaluation	5	9	51	51
A2NN8PP67SRX44	evaluation	3	83	51	51
A2J8P71K1DWF6J	evaluation	6	24	26	14
A3SU0OXYEQXLEK	evaluation	6	94	1	1
A316PEISP38C8O	evaluation	7	7	51	51
A3ARXE2KRSM0VF	evaluation	8	23	51	51
AQ1XM9TPJZ5MR	evaluation	3	127	51	51
AW9BJULSBM5Q	evaluation	3	2	51	51
A3UKTZTJRBF719	calibration	9	9	51	51
A2WP8B9T3X61P0	evaluation	3	21	51	51
A2AVTJPQVX4OWG	evaluation	8	51	51	51
A5V4PMU0M4ILG	evaluation	6	36	23	28
A3M450F1MI9G5X	evaluation	3	12	51	51
A1AGUB4IUV7MFU	evaluation	3	9	51	51
ARIDN94LOCQFD	calibration	20	13	51	51
A38K7SSI5890AP	evaluation	5	7	51	51
A1KHLGSQO7G7J0	evaluation	4	6	51	51
AEXG2O420LTLY	evaluation	3	18	51	51
A1O9TQSCKSLG9J	evaluation	5	6	51	51
APB9ABGPIWISR	calibration	5	1	51	51
ARJ30AM9A4VPS	evaluation	5	10	51	51
A3MJ6KO3BG5PSX	evaluation	3	130	51	51
A2ILF5254TTZ98	evaluation	3	7	51	51
ADLYO655RWJUI	evaluation	4	49	51	51
A1VSD1TTO9LTA6	evaluation	3	55	51	51
A4PPZNQF1X2IY	evaluation	3	8	51	51
A2XOGLJ3V3X7DR	evaluation	4	31	51	51
A2H2W4UV8OHUDI	evaluation	4	38	15	14
A7YLDDB1MZP8H	evaluation	4	51	51	51
A1KU2VHK8BECRW	evaluation	4	20	38	8
AK9QPADLB9CV0	evaluation	6	1	6	12
A2I1B7GHNP1JTA	evaluation	4	3	51	51
A234HXDATOAYEY	evaluation	20	14	51	51
A2IJZWRR8GJ9A	calibration	4	71	51	51
A4ONPTKOHKXPB	evaluation	3	132	49	37
ALYO802XSAPL7	evaluation	20	4	51	51
ASSJWXLNP773X	evaluation	3	4	51	51
A31ORAA66G2I2P	calibration	3	2	1	1
AUMB4GTLYFGY9	calibration	7	13	51	51
A139KRFZTCSJE6	calibration	3	11	51	51
A3S2TOPDUII9K0	calibration	3	4	51	51
ASB4QQBKZD6W2	calibration	5	17	51	51
A241UDYWOGCAGX	evaluation	7	9	51	51
A1JTTI1KH3DOCY	evaluation	20	3	51	51
A1BOJE4E44MYW6	calibration	4	6	30	42
A1PVOHZGN3G8VN	evaluation	3	9	51	51
A238ZSESNZ0OPF	evaluation	13	15	51	51
A2KB9VJBOMIC4Y	evaluation	4	17	51	51
A102DV5B0MSC68	evaluation	3	74	35	24
A1VLDIHYXRTMAH	evaluation	3	24	51	51
A3RRHT01JBVE5N	evaluation	3	14	51	51
A2B8V5HGXLYIDV	evaluation	5	6	51	51
A3A2AVD40MO6QT	evaluation	7	5	51	51
A2OW5HR1083Q0G	evaluation	3	7	51	51
A2380HQZW3LHP	evaluation	3	5	3	3
A1II2ZRPKZAQQD	evaluation	20	7	11	11
A1IDAKX7OM3QIE	evaluation	16	32	35	34
A16QWJNSAWFCQ4	calibration	3	12	51	51
A1ZR54GWZM4QYK	calibration	7	17	6	4
A1A4QTASZGJL3W	evaluation	6	1	51	51
A3R4GFCDXI93C1	evaluation	15	34	51	51
A14UOOROH3XRQ9	evaluation	18	11	51	51
A265B1IZE5RVG6	calibration	20	4	51	51
A2L6QS8SVHT9RG	evaluation	3	38	45	46
A6879F1Z2OQVX	evaluation	4	3	25	44
A3UOJ4RLVUUDMI	evaluation	3	11	51	51
APDPA11IZPYLN	evaluation	20	25	51	51
A45B33GH6R0FJ	evaluation	3	7	1	1
A2OXB18PCWKLX1	calibration	3	11	18	17
A1FJ5KR8PK0QF1	evaluation	4	4	51	51
A3UBR469X3HQF9	evaluation	5	11	35	43
A31JC6RV4951A0	calibration	5	7	51	51
A1D0PIT85H5VO9	evaluation	5	5	51	51
A23TGI02RB7JC	evaluation	20	22	51	51
A2PFI4YA2DW1RF	calibration	7	51	30	42
A3DTP68HT6DBJL	evaluation	5	72	51	51
A3N27L13CWJ9HY	evaluation	9	36	51	51
A1AK05CHLZX3GF	calibration	16	72	3	4
A3TOH9LAG3SVDJ	evaluation	3	41	51	51
A26AYSYQM0TBNI	calibration	3	4	51	51
A2C1R5BBL1WXTB	evaluation	5	3	51	51
A27S42MP4XMHV5	calibration	5	99	39	23
ARHXHJ2NX9Q1Y	calibration	6	22	51	51
AQ0Y2DX63QGNB	calibration	6	7	51	51
AFICF7DKHTQ87	calibration	17	38	24	26
A1JFETASTBHVJB	evaluation	4	22	51	51
A384GILMVNUQXT	evaluation	6	25	51	51
AUTXXHPDWKEOL	evaluation	3	73	51	51
AU503FDD0DI4K	evaluation	4	14	51	51
A12HI8X1Y0NU6O	evaluation	3	9	3	2
A2H1L3WQ0RUO4M	evaluation	4	42	21	10
A2OOLI2WFY4L2	evaluation	4	18	11	12
A6HHN1BJB7PDO	evaluation	3	32	51	51
A1NSRBEA58I0FB	evaluation	5	63	51	51
A3SDHJV8D9BYM	evaluation	7	11	51	51
A2XOGQZH6L5U2H	evaluation	10	42	51	51
A2NTIDRF1329W8	evaluation	3	27	51	51
A1OZGV36KIAUEZ	evaluation	10	72	51	51
A2X186408TL18S	evaluation	8	10	51	51
A1DM78KNH8K1UN	evaluation	19	7	51	51
A70GLR2U4JSX9	evaluation	7	2	51	51
A14SIELSDKS5GR	evaluation	4	26	7	14
A10O18BTQL8QBE	evaluation	6	3	51	51
A32K817L9ULU8J	calibration	6	24	28	9
A3MW876EZJMTHH	evaluation	8	43	51	51
A2H6M2IH5YN68J	evaluation	3	2	51	51
A2RGEQ4EOILD9Q	evaluation	3	4	19	48
A1HADVV7ZTJARK	evaluation	4	6	51	51
A3JM4IBJ42RY2F	evaluation	3	139	6	5
A18SK0IT354975	calibration	4	29	51	51
A2MKY6T9KE7I54	evaluation	5	14	1	1
A2A07Z5PLR6AB9	evaluation	3	10	51	51
A3ECKVQPQ1DCFL	evaluation	4	21	51	51
A2KY6POA5T8URA	evaluation	4	86	51	51
A2CEUUD4H3JV8D	evaluation	10	3	40	23
A2RI25U0F857W2	evaluation	3	4	51	51
A3HL1LRW4VDG6A	evaluation	13	9	51	51
A1KHFO37SJWIRR	calibration	10	5	51	51
A1PI2MSVWR8LWR	evaluation	4	21	51	51
A3V14SK22N2VAI	evaluation	14	7	51	51
A3M7H9O909Y3GZ	evaluation	7	35	48	47
A2MIHMKWI2D00L	evaluation	3	30	51	51
A39UX5CZ9X2ZIO	calibration	3	68	1	1
A1XJPPTA54KCDT	evaluation	8	34	51	51
ASNC7GK0GTHL8	evaluation	3	22	7	3
A17437N1L775IJ	evaluation	18	18	51	51
A2EDRI3WWKLJQR	evaluation	4	12	51	51
A3JMI7T9UYNXU6	calibration	4	50	9	6
AS7K8X16DC2JH	evaluation	3	7	51	51
A3V3RM9B1U8SC0	evaluation	3	3	51	51
A2NI91THBOWI20	evaluation	3	17	44	27
A1SNUCX9Z7WRF3	calibration	3	5	43	39
ALDAF4VVLFRHP	evaluation	20	14	10	9
A7N9KA73W3PX2	calibration	3	1	10	2
AKMQZNN9X3H2I	evaluation	5	6	51	51
A3NG7X4APIV649	calibration	6	14	51	51
A3F480ONRYTLXR	evaluation	4	44	16	13
A31ADOKGF6S0MP	evaluation	16	11	51	51
A2Y5R0F7U0AUV2	evaluation	5	23	29	23
A3S8Z7ZLJIFP0I	evaluation	6	7	51	51
A3JQ9SPK2QOTQT	calibration	5	23	51	51
A1CD2GFKM552DU	evaluation	8	4	51	51
A1M92239OM8KPO	evaluation	5	26	4	3
A1IBLDZKONGQ1P	calibration	6	2	51	51
A1Y1VKNAJOCD1G	calibration	3	5	51	51
A2NF4VDSPQ1S54	evaluation	3	11	11	11
A2PHMUTKSOFKCF	evaluation	11	41	51	51
A3R97FP9W5PQGV	evaluation	4	9	51	51
A2KGYJFT0ZPRBB	evaluation	6	39	51	51
A2LLAGJW7PKU9Z	evaluation	3	3	51	51
A2BR12BYIGV1ER	evaluation	3	20	2	2
A6T098A9B0GZC	evaluation	7	5	4	7
A1M1QHVH6CXU4Q	evaluation	5	3	51	51
AOS4WVF9W3L8L	evaluation	12	23	51	51
A3K150BGUET5KI	calibration	6	30	51	51
A31ZGMY52UJ0FA	evaluation	4	92	35	7
A14A08BE9EVH1M	calibration	4	62	51	51
A1LUTBKT54VUTJ	evaluation	5	45	51	51
A37C5RZGEILMYU	evaluation	7	4	51	51
AOX4AQIX6M5EK	evaluation	5	7	51	51
A1ZBEIL78MLR9Z	calibration	13	9	51	51
A2K0FCG3I0PRPC	evaluation	7	4	51	51
A1HDLJ15OO4LK	evaluation	15	5	51	51
APLV1SMNDUMOY	evaluation	5	50	51	51
A3QSU3E3G9JRJL	calibration	3	2	51	51
A2TN58XT8SBYY9	evaluation	3	3	51	51
A3B35QW37Q5FKK	evaluation	5	6	51	51
AK5EFXTR36OQ0	evaluation	6	20	51	51
A12Q2GK5VY2TR9	evaluation	4	18	51	51
AR7ZPLXAJ9YQ5	evaluation	3	20	51	51
A2SQI5NLZFGF85	evaluation	4	11	51	51
A161UJ11HHYTKS	evaluation	6	8	51	51
A2BWLV1M3G8W27	evaluation	3	58	1	1
A32RNRHTTCFS61	evaluation	7	90	51	51
A3JCIET7XQRZWS	evaluation	3	14	51	51
ACZMM7OTESMH0	evaluation	6	3	6	5
A3HZ83EUW587RM	evaluation	5	7	51	51
A6MBUVFWKZCRX	evaluation	3	14	51	51
A1444X9S5NG532	evaluation	4	25	9	6
A1VJ1I17SJC98V	evaluation	5	15	2	4
A1PBMMMRN2YVM7	evaluation	3	31	51	51
A2BUPFYUOFL8WH	evaluation	20	9	51	51
A1Z3QPQQP6EDOH	evaluation	10	2	51	51
A3FAV9KE01OVPR	calibration	4	41	2	2
A11X2Q3Z7GLIVJ	evaluation	3	9	51	51
A1510WM4V9MICG	calibration	4	31	51	51
A2OIGPPBTR65MR	evaluation	17	6	51	51
A2GCX6TJ7O1ABL	evaluation	12	28	51	51
A1Z8OFGUAVJAVL	evaluation	3	16	51	51
A2GCAXEAVBW2AG	evaluation	3	9	51	51
A3DTM08XWOZGYB	evaluation	3	42	6	3
A2CSUBM1565NGH	evaluation	4	8	51	51
A35K0699AN1EJ1	evaluation	4	39	51	51
A3F3B6HY9RJI04	evaluation	5	11	51	51
AVXVMD36FPP8F	evaluation	4	12	51	51
A3K79V6EK1DV7J	evaluation	3	6	51	51
AT08NIODVL3GP	calibration	5	4	51	51
A11FW5TMTDTQO4	evaluation	20	5	51	51
A7357KQSOESYC	evaluation	4	19	51	51
A3CU4VWM1GWA8V	calibration	4	6	51	51
A12HP658Q4FI5D	evaluation	4	5	51	51
A44OY8EFDM4IP	calibration	4	10	51	51
A3F69LY1QJ7I5Y	calibration	5	18	51	51
A3H8OYIER5SWSI	calibration	3	2	51	51
AU246IQR4Z1EF	calibration	3	17	51	51
AXF9B6ZWF03YZ	evaluation	4	6	51	51
A2BSAB56O2Z9L4	evaluation	3	2	51	51
A1RFEO61AGIRPR	evaluation	4	34	51	51
A33NTMJHWDV0O1	evaluation	5	8	51	51
A1GRIPPFYMIF0P	calibration	12	18	51	51
A2HVY2VBR5IY6O	evaluation	16	20	5	4
A141W8WHW9AC3H	calibration	3	40	31	16
A1I12P53XRMJP0	evaluation	19	8	51	51
A1EOL1UNHCQ2OK	evaluation	8	17	51	51
A1MXJVANURX26J	calibration	8	82	51	51
A3OTYODDF52VX1	evaluation	5	6	51	51
A1Y1IE41K2NDT1	evaluation	7	30	51	51
A158VTFPOBZZY	evaluation	4	38	4	5
AQPRNOTQZVD62	calibration	3	10	51	51
A3R25J093OGY3D	evaluation	5	9	51	51
A3C1S22BR7LVOZ	evaluation	17	13	14	6
A2K0CTIYO0R0H1	evaluation	3	42	51	51
A3085TU8091IW	evaluation	5	14	51	51
A127LL6NRV0A36	evaluation	3	9	51	51
A35GP64E7LQL80	evaluation	18	4	51	51
A1QJ8O04T2X0WR	evaluation	7	7	51	51
A3O2XYVT5YJB9X	evaluation	9	13	3	2
A24EWW9YP5HN62	evaluation	4	4	51	51
A3PIX3Y9W3BUOF	evaluation	3	20	14	11
A2025FCZVEUP8F	evaluation	6	2	51	51
A2OMI2NAEO1MZI	evaluation	7	173	10	14
ABGLRVU2QIECK	evaluation	3	23	51	51
AKXNQ67GCNKND	evaluation	5	6	51	51
A170GOPHLT54P2	evaluation	11	66	51	51
A3C7G0HOJTOQ0I	evaluation	5	6	51	51
A2Z60PVKWFO3SW	evaluation	20	11	51	51
A3I9B1CGS5TP2J	evaluation	4	9	51	51
A3U2UEBJNEX68I	calibration	3	31	51	51
AY5XWJE0LEYB8	calibration	5	34	3	3
A3I6PSQD9AL7VU	calibration	5	19	51	51
A22IOW4U7ER2TR	evaluation	7	6	51	51
A33W1ED2CINHHF	calibration	4	5	51	51
A3O739U0I3QXRY	calibration	6	4	51	51
AV7X73ZW5KDCN	evaluation	3	17	40	22
A3IE8E0JN0LZFY	evaluation	4	7	51	51
A2V325C5TYPZTQ	evaluation	11	6	51	51
A1FMWLZ9YY91XI	evaluation	11	8	51	51
A3GSRSYNOZNBUY	evaluation	4	21	51	51
A2KP4CWYUTKUFO	evaluation	4	36	2	2
A1FM549IYXH16E	calibration	6	35	51	51
A2U7BVPBW4AZTH	evaluation	5	14	51	51
AAXVHEC465APO	evaluation	6	2	51	51
A3MFU0GVZUVH3K	calibration	16	5	51	51
A22321WGRP47QU	evaluation	3	8	1	1
A32JRYB13SAZUT	evaluation	5	41	51	51
A2KKSQO44MPRE5	evaluation	3	52	51	51
A28G3C33E5GW3P	evaluation	14	3	51	51
A174BJIC9OEL9K	evaluation	3	10	51	51
A2HLSO3T9PPEA5	calibration	12	19	51	51
A3V6E16PSEARGV	calibration	8	6	51	51
A2WA4Q15BNZ78J	evaluation	3	17	22	32
AY4BKTTLRHETL	evaluation	3	10	51	51
A2NW1WH02SNCRP	evaluation	8	5	51	51
A8D8W0Z8E9IOG	evaluation	8	30	9	8
AMCTELCF1ESG7	evaluation	6	5	51	51
A33SRRK6M2ZGIH	evaluation	3	3	51	51
A376OJHLE6SU9Q	evaluation	20	22	51	51
A2TNEYVYHY3C4C	evaluation	6	58	51	51
A1F5588D4SRZ2W	calibration	3	6	51	51
A13OBBS94PRVLP	evaluation	4	170	19	16
AUXCIRLTZUR8W	evaluation	5	19	51	51
AOL4EAN05IY16	evaluation	3	38	1	1
A1IR8NOC0TBOM2	evaluation	4	3	51	51
A1SP366J07MNU	evaluation	4	9	51	51
A14WOXZ6JTGNPC	evaluation	5	35	51	51
A2T73ILK4WCOSP	evaluation	6	7	14	2
A2QPGQBU2CAF2D	evaluation	7	36	15	13
A3QB5GGUYO607J	calibration	4	2	51	51
A2WU1CT9AXRS33	evaluation	3	151	51	51
A2LDXAC9KJHU5F	evaluation	6	8	51	51
A2KFO3WTSDBLEX	calibration	3	9	1	1
A3C2RGMRAI1JG1	evaluation	8	7	51	51
ARTL8Q5NJF7WF	calibration	6	7	51	51
AHPX71LWPYX04	evaluation	4	7	51	51
A1081CI06OVJFP	evaluation	8	29	51	51
A37MU0GH45SBQW	evaluation	4	2	51	51
A2HUOPC7F93949	evaluation	3	1	9	29
A11OTLEDSW8ZXD	evaluation	11	34	51	51
A3H9TRBHEW94C0	evaluation	3	6	51	51
A7NNRSEZWQDSQ	evaluation	3	5	51	51
A3UE1PURTS8PG	calibration	3	17	2	2
A2RAHVQXI12VGA	evaluation	5	12	51	51
A3PDGHTCRE3G56	evaluation	4	14	20	13
A8GR4PH5NW96V	calibration	5	17	51	51
A3ENCEVRRTFQL1	evaluation	5	4	51	51
A1CZX3CP8IKQIJ	evaluation	9	7	1	1
A2J29RFZ2TI0NQ	evaluation	3	8	51	51
A1M8VUEMELRTNL	evaluation	4	4	51	51
AYRY9SNC133U8	evaluation	11	2	51	51
A2LQA7C6T640AY	evaluation	3	55	51	51
ANYPFR38T1I4A	calibration	4	5	51	51
A2P8JAGEYL18GF	evaluation	7	18	51	51
A3PW1SRE8IJ7BU	evaluation	11	26	1	1
A1BFSF51KDKLP4	evaluation	3	12	51	51
A2S036QNK68S8T	evaluation	3	27	10	24
AH6OYB8SIKPE9	evaluation	3	9	8	13
A2R7QBW9QL3NJU	evaluation	3	2	51	51
A4CVS4GV4JS3D	calibration	3	62	51	51
A44V99PXB7RCZ	calibration	10	2	51	51
A1VEELTKS8NLZB	evaluation	6	38	51	51
A10YWQ4AAAE29O	evaluation	10	8	33	21
A33XE32OLAY7DW	calibration	3	10	51	51
A1Q62S1E5H3Q2A	evaluation	10	4	51	51
A2LQWDVAZ0RUV1	evaluation	3	13	51	51
A3O389O1DUHM0W	evaluation	3	7	51	51
A29RHXL9SG6Y6Y	evaluation	4	6	51	51
A3U2C3NVBAGV29	evaluation	4	3	51	51
A30YJ52TVOABT7	evaluation	3	18	51	51
A2W99G61E5ZPF0	evaluation	5	1	51	51
A2IGZXPAT1CXNF	evaluation	8	83	51	51
A2HPWNWR8795UE	evaluation	5	11	51	51
AIDX2MKIIF2OO	calibration	3	99	51	51
A3C5OZBJD5WMZC	evaluation	3	17	13	5
A5J15TWUVTWVG	evaluation	5	12	51	51
A3P0PA5CEP3HTU	evaluation	6	170	51	51
A100L918633LUO	evaluation	4	11	51	51
A1PS67NTSNL3OM	evaluation	4	3	2	5
A1MK0UA8UDSMRW	evaluation	4	15	51	51
A1SQT0QOVM5TUR	evaluation	3	6	51	51
A7NTB12F2QR3A	evaluation	7	23	51	51
A2AHQPAL712IJ4	evaluation	3	28	51	51
A2Q3L9FI2BZPHQ	evaluation	4	119	51	51
A22BY6LSKXFZ8J	calibration	3	6	51	51
A30YCE03QCYBFC	evaluation	6	17	51	51
A1VTCSCH8FFC76	calibration	6	14	51	51
A2YP323KXIBPQ9	evaluation	4	82	25	11
A2YQJ3PMLRD5RB	calibration	4	105	51	51
ALY8AZAOP0TTN	evaluation	6	28	51	51
A183VX9JGPARDF	calibration	6	13	51	51
A14TD41I1VY0J9	evaluation	3	9	51	51
ALUZO8SLEA7S4	evaluation	11	8	51	51
AQKZ1VTU69JU6	evaluation	6	9	1	1
A2NW2IMTWKKSXK	evaluation	6	36	51	51
A6O3A839D8QPU	evaluation	3	59	51	51
A3P0OZLK5QOUYX	evaluation	3	10	51	51
A126ZIW0CAQZRT	evaluation	3	6	4	3
A1WOLYSTSPL4FK	calibration	20	10	51	51
