user_id	split	hash_order
AQW172A5SG5OC	evaluation	19270
A3E9UK6ANIX73Q	evaluation	13570
A38N7SFDOB3MR3	evaluation	17704
A1BR7B2D7QXL83	evaluation	3820
A3JLBL62FPGY98	evaluation	2986
A3VNB1W7N079T2	evaluation	6012
A1P9UMP1XSE6MI	evaluation	18871
A18AO94P2ZIEF3	evaluation	2164
A2BRAVOAYRHDVR	evaluation	9141
A2F0AYUD1X0AMV	evaluation	17449
A2B8O4VOUC1Y5B	evaluation	13212
A1LG1DKUZXGJ6J	evaluation	7150
A18CF71GKLDS48	evaluation	5196
A2BFEMPHZAZE80	evaluation	15406
A2UAQ83AY3C3CY	calibration	49
A7EJERNB7IK3Z	evaluation	10765
A3MKKQT9ECS0S6	evaluation	16711
A279XQT50MB44R	evaluation	12840
A2B0KZ54I63XNX	evaluation	9326
A1D8KV88A3D7IZ	evaluation	1354
A1CYKFUPE5ZGBA	evaluation	8523
A2X6FC7OXFB61U	evaluation	17131
A37XBQWYQ1N1FF	evaluation	18896
A3FGWQHVQGOAGL	evaluation	6686
A17LDNW8GIFID1	evaluation	2149
AK9N3O4FT8DNQ	evaluation	10045
A198M311Q3VRYF	evaluation	14175
AN05GBGE65X9J	evaluation	11439
A35NGY49ZY896M	evaluation	18234
A1BP92HYW0HQST	evaluation	10307
A144U5041CFKQR	evaluation	4375
A3VAGT9TQUS9WE	evaluation	16855
A2RXOQQCU6Z2X8	evaluation	12229
A2OETFZ7IA6XSQ	evaluation	11991
A1N03V52IRZ5PR	evaluation	595
A17B2QIN8RVRBJ	evaluation	14969
AO9XKAUG5XH22	evaluation	9272
A3G7BEJJCPD6DS	evaluation	19170
A1V23RXLRBR73T	evaluation	3711
A3N9DRV2RSEU6Y	evaluation	13202
A25OJH02IZ86EP	evaluation	7585
A2OD23539QMZS5	evaluation	7476
A2M87ULJS7K5TQ	evaluation	14544
A2R9PCIR3X3CAC	evaluation	8646
A1CM9DM8R7ODFX	evaluation	12055
A2CBPT24N2SQDJ	evaluation	11879
A9RTRKZM3IEOY	evaluation	14537
A3BRSKXH5657SJ	evaluation	4162
A2NN8PP67SRX44	evaluation	13956
A2J8P71K1DWF6J	evaluation	11610
A3SU0OXYEQXLEK	evaluation	7870
A316PEISP38C8O	evaluation	14009
A3ARXE2KRSM0VF	evaluation	8127
AQ1XM9TPJZ5MR	evaluation	8183
AW9BJULSBM5Q	evaluation	5467
A3UKTZTJRBF719	evaluation	2685
A2WP8B9T3X61P0	evaluation	14411
A2AVTJPQVX4OWG	evaluation	5717
A5V4PMU0M4ILG	evaluation	6896
A3M450F1MI9G5X	evaluation	8850
A1AGUB4IUV7MFU	evaluation	16915
ARIDN94LOCQFD	evaluation	2208
A38K7SSI5890AP	evaluation	11387
A1KHLGSQO7G7J0	evaluation	13739
AEXG2O420LTLY	evaluation	9280
A1O9TQSCKSLG9J	evaluation	5764
APB9ABGPIWISR	evaluation	1587
ARJ30AM9A4VPS	evaluation	11990
A3MJ6KO3BG5PSX	evaluation	17406
A2ILF5254TTZ98	evaluation	12467
ADLYO655RWJUI	evaluation	6142
A1VSD1TTO9LTA6	evaluation	7969
A4PPZNQF1X2IY	evaluation	14019
A2XOGLJ3V3X7DR	evaluation	12494
A2H2W4UV8OHUDI	evaluation	15644
A7YLDDB1MZP8H	evaluation	5628
A1KU2VHK8BECRW	evaluation	13257
AK9QPADLB9CV0	evaluation	11295
A2I1B7GHNP1JTA	evaluation	9253
A234HXDATOAYEY	evaluation	14593
A2IJZWRR8GJ9A	evaluation	2488
A4ONPTKOHKXPB	evaluation	7958
ALYO802XSAPL7	evaluation	8038
ASSJWXLNP773X	evaluation	10542
A31ORAA66G2I2P	evaluation	2665
AUMB4GTLYFGY9	evaluation	2238
A139KRFZTCSJE6	evaluation	3023
A3S2TOPDUII9K0	evaluation	1672
ASB4QQBKZD6W2	evaluation	542
A241UDYWOGCAGX	evaluation	14909
A1JTTI1KH3DOCY	evaluation	11827
A1BOJE4E44MYW6	evaluation	1685
A1PVOHZGN3G8VN	evaluation	6121
A238ZSESNZ0OPF	evaluation	9391
A2KB9VJBOMIC4Y	evaluation	8169
A102DV5B0MSC68	evaluation	13973
A1VLDIHYXRTMAH	evaluation	4514
A3RRHT01JBVE5N	evaluation	12278
A2B8V5HGXLYIDV	evaluation	13818
A3A2AVD40MO6QT	evaluation	14543
A2OW5HR1083Q0G	evaluation	10153
A2380HQZW3LHP	evaluation	11264
A1II2ZRPKZAQQD	evaluation	16702
A1IDAKX7OM3QIE	evaluation	9757
A16QWJNSAWFCQ4	evaluation	2754
A1ZR54GWZM4QYK	evaluation	3758
A1A4QTASZGJL3W	evaluation	17035
A3R4GFCDXI93C1	evaluation	13768
A14UOOROH3XRQ9	evaluation	15129
A265B1IZE5RVG6	evaluation	885
A2L6QS8SVHT9RG	evaluation	7086
A6879F1Z2OQVX	evaluation	18910
A3UOJ4RLVUUDMI	evaluation	8518
APDPA11IZPYLN	evaluation	14495
A45B33GH6R0FJ	evaluation	8142
A2OXB18PCWKLX1	evaluation	997
A1FJ5KR8PK0QF1	evaluation	14000
A3UBR469X3HQF9	evaluation	17084
A31JC6RV4951A0	evaluation	3643
A1D0PIT85H5VO9	evaluation	5284
A23TGI02RB7JC	evaluation	8228
A2PFI4YA2DW1RF	evaluation	3198
A3DTP68HT6DBJL	evaluation	17276
A3N27L13CWJ9HY	evaluation	18143
A1AK05CHLZX3GF	evaluation	2929
A3TOH9LAG3SVDJ	evaluation	8596
A26AYSYQM0TBNI	evaluation	3972
A2C1R5BBL1WXTB	evaluation	9682
A27S42MP4XMHV5	evaluation	243
ARHXHJ2NX9Q1Y	evaluation	551
AQ0Y2DX63QGNB	evaluation	2969
AFICF7DKHTQ87	evaluation	2926
A1JFETASTBHVJB	evaluation	4716
A384GILMVNUQXT	evaluation	18416
AUTXXHPDWKEOL	evaluation	4472
AU503FDD0DI4K	evaluation	15659
A12HI8X1Y0NU6O	evaluation	6784
A2H1L3WQ0RUO4M	evaluation	15648
A2OOLI2WFY4L2	evaluation	12165
A6HHN1BJB7PDO	evaluation	14386
A1NSRBEA58I0FB	evaluation	17637
A3SDHJV8D9BYM	evaluation	8878
A2XOGQZH6L5U2H	evaluation	6749
A2NTIDRF1329W8	evaluation	5125
A1OZGV36KIAUEZ	evaluation	15466
A2X186408TL18S	evaluation	7009
A1DM78KNH8K1UN	evaluation	17958
A70GLR2U4JSX9	evaluation	15068
A14SIELSDKS5GR	evaluation	4482
A10O18BTQL8QBE	evaluation	19155
A32K817L9ULU8J	evaluation	4018
A3MW876EZJMTHH	evaluation	16871
A2H6M2IH5YN68J	evaluation	18274
A2RGEQ4EOILD9Q	evaluation	7722
A1HADVV7ZTJARK	evaluation	16468
A3JM4IBJ42RY2F	evaluation	18339
A18SK0IT354975	evaluation	919
A2MKY6T9KE7I54	evaluation	14894
A2A07Z5PLR6AB9	evaluation	13531
A3ECKVQPQ1DCFL	evaluation	10621
A2KY6POA5T8URA	evaluation	7418
A2CEUUD4H3JV8D	evaluation	9116
A2RI25U0F857W2	evaluation	16685
A3HL1LRW4VDG6A	evaluation	10726
A1KHFO37SJWIRR	evaluation	1893
A1PI2MSVWR8LWR	evaluation	12630
A3V14SK22N2VAI	evaluation	6105
A3M7H9O909Y3GZ	evaluation	5035
A2MIHMKWI2D00L	evaluation	4989
A39UX5CZ9X2ZIO	evaluation	3420
A1XJPPTA54KCDT	evaluation	4173
ASNC7GK0GTHL8	evaluation	8188
A17437N1L775IJ	evaluation	8445
A2EDRI3WWKLJQR	evaluation	18014
A3JMI7T9UYNXU6	evaluation	4062
AS7K8X16DC2JH	evaluation	11554
A3V3RM9B1U8SC0	evaluation	8432
A2NI91THBOWI20	evaluation	7224
A1SNUCX9Z7WRF3	evaluation	3533
ALDAF4VVLFRHP	evaluation	13634
A7N9KA73W3PX2	evaluation	1202
AKMQZNN9X3H2I	evaluation	5634
A3NG7X4APIV649	evaluation	3525
A3F480ONRYTLXR	evaluation	15119
A31ADOKGF6S0MP	evaluation	18084
A2Y5R0F7U0AUV2	evaluation	19328
A3S8Z7ZLJIFP0I	evaluation	19208
A3JQ9SPK2QOTQT	evaluation	326
A1CD2GFKM552DU	evaluation	11068
A1M92239OM8KPO	evaluation	14104
A1IBLDZKONGQ1P	evaluation	2037
A1Y1VKNAJOCD1G	evaluation	483
A2NF4VDSPQ1S54	evaluation	7907
A2PHMUTKSOFKCF	evaluation	16950
A3R97FP9W5PQGV	evaluation	14851
A2KGYJFT0ZPRBB	evaluation	17176
A2LLAGJW7PKU9Z	evaluation	16804
A2BR12BYIGV1ER	evaluation	4761
A6T098A9B0GZC	evaluation	8590
A1M1QHVH6CXU4Q	evaluation	15819
AOS4WVF9W3L8L	evaluation	12302
A3K150BGUET5KI	evaluation	731
A31ZGMY52UJ0FA	evaluation	14469
A14A08BE9EVH1M	evaluation	2524
A1LUTBKT54VUTJ	evaluation	6310
A37C5RZGEILMYU	evaluation	19365
AOX4AQIX6M5EK	evaluation	13599
A1ZBEIL78MLR9Z	evaluation	2146
A2K0FCG3I0PRPC	evaluation	12633
A1HDLJ15OO4LK	evaluation	17444
APLV1SMNDUMOY	evaluation	7707
A3QSU3E3G9JRJL	evaluation	2632
A2TN58XT8SBYY9	evaluation	6017
A3B35QW37Q5FKK	evaluation	11418
AK5EFXTR36OQ0	evaluation	19020
A12Q2GK5VY2TR9	evaluation	10836
AR7ZPLXAJ9YQ5	evaluation	8134
A2SQI5NLZFGF85	evaluation	18788
A161UJ11HHYTKS	evaluation	13658
A2BWLV1M3G8W27	evaluation	13829
A32RNRHTTCFS61	evaluation	15329
A3JCIET7XQRZWS	evaluation	10893
ACZMM7OTESMH0	evaluation	12582
A3HZ83EUW587RM	evaluation	15660
A6MBUVFWKZCRX	evaluation	16363
