user_id	split	history_length	target_frequency	baseline_rank	fused_rank
AQW172A5SG5OC	evaluation	5	10	42	WITHHELD
A3E9UK6ANIX73Q	evaluation	3	38	51	WITHHELD
A38N7SFDOB3MR3	evaluation	8	5	51	WITHHELD
A1BR7B2D7QXL83	evaluation	6	12	51	WITHHELD
A3JLBL62FPGY98	evaluation	6	14	51	WITHHELD
A3VNB1W7N079T2	evaluation	7	5	51	WITHHELD
A1P9UMP1XSE6MI	evaluation	12	52	30	WITHHELD
A18AO94P2ZIEF3	evaluation	3	3	51	WITHHELD
A2BRAVOAYRHDVR	evaluation	13	6	51	WITHHELD
A2F0AYUD1X0AMV	evaluation	3	119	3	WITHHELD
A2B8O4VOUC1Y5B	evaluation	3	16	51	WITHHELD
A1LG1DKUZXGJ6J	evaluation	20	26	51	WITHHELD
A18CF71GKLDS48	evaluation	5	5	51	WITHHELD
A2BFEMPHZAZE80	evaluation	3	27	1	WITHHELD
A2UAQ83AY3C3CY	calibration	3	3	51	51
A7EJERNB7IK3Z	evaluation	20	22	51	WITHHELD
A3MKKQT9ECS0S6	evaluation	3	42	29	WITHHELD
A279XQT50MB44R	evaluation	3	4	51	WITHHELD
A2B0KZ54I63XNX	evaluation	3	32	51	WITHHELD
A1D8KV88A3D7IZ	evaluation	3	139	18	WITHHELD
A1CYKFUPE5ZGBA	evaluation	4	12	34	WITHHELD
A2X6FC7OXFB61U	evaluation	3	8	51	WITHHELD
A37XBQWYQ1N1FF	evaluation	12	3	23	WITHHELD
A3FGWQHVQGOAGL	evaluation	10	19	51	WITHHELD
A17LDNW8GIFID1	evaluation	3	3	51	WITHHELD
AK9N3O4FT8DNQ	evaluation	5	50	51	WITHHELD
A198M311Q3VRYF	evaluation	3	12	51	WITHHELD
AN05GBGE65X9J	evaluation	4	23	3	WITHHELD
A35NGY49ZY896M	evaluation	4	12	51	WITHHELD
A1BP92HYW0HQST	evaluation	6	4	51	WITHHELD
A144U5041CFKQR	evaluation	6	4	51	WITHHELD
A3VAGT9TQUS9WE	evaluation	4	3	51	WITHHELD
A2RXOQQCU6Z2X8	evaluation	8	23	51	WITHHELD
A2OETFZ7IA6XSQ	evaluation	3	3	51	WITHHELD
A1N03V52IRZ5PR	evaluation	3	26	51	WITHHELD
A17B2QIN8RVRBJ	evaluation	6	2	51	WITHHELD
AO9XKAUG5XH22	evaluation	4	10	51	WITHHELD
A3G7BEJJCPD6DS	evaluation	17	25	51	WITHHELD
A1V23RXLRBR73T	evaluation	15	14	51	WITHHELD
A3N9DRV2RSEU6Y	evaluation	6	11	51	WITHHELD
A25OJH02IZ86EP	evaluation	7	3	51	WITHHELD
A2OD23539QMZS5	evaluation	4	27	51	WITHHELD
A2M87ULJS7K5TQ	evaluation	3	12	51	WITHHELD
A2R9PCIR3X3CAC	evaluation	3	17	17	WITHHELD
A1CM9DM8R7ODFX	evaluation	3	12	1	WITHHELD
A2CBPT24N2SQDJ	evaluation	3	8	51	WITHHELD
A9RTRKZM3IEOY	evaluation	4	29	51	WITHHELD
A3BRSKXH5657SJ	evaluation	5	9	51	WITHHELD
A2NN8PP67SRX44	evaluation	3	83	51	WITHHELD
A2J8P71K1DWF6J	evaluation	6	24	26	WITHHELD
A3SU0OXYEQXLEK	evaluation	6	94	1	WITHHELD
A316PEISP38C8O	evaluation	7	7	51	WITHHELD
A3ARXE2KRSM0VF	evaluation	8	23	51	WITHHELD
AQ1XM9TPJZ5MR	evaluation	3	127	51	WITHHELD
AW9BJULSBM5Q	evaluation	3	2	51	WITHHELD
A3UKTZTJRBF719	evaluation	9	9	51	WITHHELD
A2WP8B9T3X61P0	evaluation	3	21	51	WITHHELD
A2AVTJPQVX4OWG	evaluation	8	51	51	WITHHELD
A5V4PMU0M4ILG	evaluation	6	36	23	WITHHELD
A3M450F1MI9G5X	evaluation	3	12	51	WITHHELD
A1AGUB4IUV7MFU	evaluation	3	9	51	WITHHELD
ARIDN94LOCQFD	evaluation	20	13	51	WITHHELD
A38K7SSI5890AP	evaluation	5	7	51	WITHHELD
A1KHLGSQO7G7J0	evaluation	4	6	51	WITHHELD
AEXG2O420LTLY	evaluation	3	18	51	WITHHELD
A1O9TQSCKSLG9J	evaluation	5	6	51	WITHHELD
APB9ABGPIWISR	evaluation	5	1	51	WITHHELD
ARJ30AM9A4VPS	evaluation	5	10	51	WITHHELD
A3MJ6KO3BG5PSX	evaluation	3	130	51	WITHHELD
A2ILF5254TTZ98	evaluation	3	7	51	WITHHELD
ADLYO655RWJUI	evaluation	4	49	51	WITHHELD
A1VSD1TTO9LTA6	evaluation	3	55	51	WITHHELD
A4PPZNQF1X2IY	evaluation	3	8	51	WITHHELD
A2XOGLJ3V3X7DR	evaluation	4	31	51	WITHHELD
A2H2W4UV8OHUDI	evaluation	4	38	15	WITHHELD
A7YLDDB1MZP8H	evaluation	4	51	51	WITHHELD
A1KU2VHK8BECRW	evaluation	4	20	38	WITHHELD
AK9QPADLB9CV0	evaluation	6	1	6	WITHHELD
A2I1B7GHNP1JTA	evaluation	4	3	51	WITHHELD
A234HXDATOAYEY	evaluation	20	14	51	WITHHELD
A2IJZWRR8GJ9A	evaluation	4	71	51	WITHHELD
A4ONPTKOHKXPB	evaluation	3	132	49	WITHHELD
ALYO802XSAPL7	evaluation	20	4	51	WITHHELD
ASSJWXLNP773X	evaluation	3	4	51	WITHHELD
A31ORAA66G2I2P	evaluation	3	2	1	WITHHELD
AUMB4GTLYFGY9	evaluation	7	13	51	WITHHELD
A139KRFZTCSJE6	evaluation	3	11	51	WITHHELD
A3S2TOPDUII9K0	evaluation	3	4	51	WITHHELD
ASB4QQBKZD6W2	evaluation	5	17	51	WITHHELD
A241UDYWOGCAGX	evaluation	7	9	51	WITHHELD
A1JTTI1KH3DOCY	evaluation	20	3	51	WITHHELD
A1BOJE4E44MYW6	evaluation	4	6	30	WITHHELD
A1PVOHZGN3G8VN	evaluation	3	9	51	WITHHELD
A238ZSESNZ0OPF	evaluation	13	15	51	WITHHELD
A2KB9VJBOMIC4Y	evaluation	4	17	51	WITHHELD
A102DV5B0MSC68	evaluation	3	74	35	WITHHELD
A1VLDIHYXRTMAH	evaluation	3	24	51	WITHHELD
A3RRHT01JBVE5N	evaluation	3	14	51	WITHHELD
A2B8V5HGXLYIDV	evaluation	5	6	51	WITHHELD
A3A2AVD40MO6QT	evaluation	7	5	51	WITHHELD
A2OW5HR1083Q0G	evaluation	3	7	51	WITHHELD
A2380HQZW3LHP	evaluation	3	5	3	WITHHELD
A1II2ZRPKZAQQD	evaluation	20	7	11	WITHHELD
A1IDAKX7OM3QIE	evaluation	16	32	35	WITHHELD
A16QWJNSAWFCQ4	evaluation	3	12	51	WITHHELD
A1ZR54GWZM4QYK	evaluation	7	17	6	WITHHELD
A1A4QTASZGJL3W	evaluation	6	1	51	WITHHELD
A3R4GFCDXI93C1	evaluation	15	34	51	WITHHELD
A14UOOROH3XRQ9	evaluation	18	11	51	WITHHELD
A265B1IZE5RVG6	evaluation	20	4	51	WITHHELD
A2L6QS8SVHT9RG	evaluation	3	38	45	WITHHELD
A6879F1Z2OQVX	evaluation	4	3	25	WITHHELD
A3UOJ4RLVUUDMI	evaluation	3	11	51	WITHHELD
APDPA11IZPYLN	evaluation	20	25	51	WITHHELD
A45B33GH6R0FJ	evaluation	3	7	1	WITHHELD
A2OXB18PCWKLX1	evaluation	3	11	18	WITHHELD
A1FJ5KR8PK0QF1	evaluation	4	4	51	WITHHELD
A3UBR469X3HQF9	evaluation	5	11	35	WITHHELD
A31JC6RV4951A0	evaluation	5	7	51	WITHHELD
A1D0PIT85H5VO9	evaluation	5	5	51	WITHHELD
A23TGI02RB7JC	evaluation	20	22	51	WITHHELD
A2PFI4YA2DW1RF	evaluation	7	51	30	WITHHELD
