user_id	fold	history_length	target_frequency	tail_mass	effective_lambda	beta	gamma	baseline_rank	fixed_p9c_rank	oof_rank
AQW172A5SG5OC	0	5	10	0.200000	0.80000000	0.5	1.0	42	42	41
A3E9UK6ANIX73Q	1	3	38	0.400000	0.60000000	0.5	1.0	51	51	51
A38N7SFDOB3MR3	0	8	5	0.100000	0.90000000	0.5	1.0	51	51	51
A1BR7B2D7QXL83	1	6	12	0.100000	0.90000000	0.5	1.0	51	51	51
A3JLBL62FPGY98	1	6	14	0.200000	0.80000000	0.5	1.0	51	51	51
A3VNB1W7N079T2	1	7	5	0.000000	1.00000000	0.5	1.0	51	51	51
A1P9UMP1XSE6MI	4	12	52	0.100000	0.90000000	0.5	1.0	30	17	18
A18AO94P2ZIEF3	4	3	3	0.000000	1.00000000	0.5	1.0	51	51	51
A2BRAVOAYRHDVR	1	13	6	0.000000	1.00000000	0.5	1.0	51	51	51
A2F0AYUD1X0AMV	3	3	119	0.100000	0.90000000	0.5	1.0	3	1	1
A2B8O4VOUC1Y5B	4	3	16	0.000000	1.00000000	0.5	1.0	51	51	51
A1LG1DKUZXGJ6J	3	20	26	0.200000	0.80000000	0.5	1.0	51	51	51
A18CF71GKLDS48	3	5	5	0.500000	0.50000000	0.5	1.0	51	51	51
A2BFEMPHZAZE80	1	3	27	0.200000	0.80000000	0.5	1.0	1	1	1
A2UAQ83AY3C3CY	2	3	3	0.100000	0.90000000	0.5	1.0	51	51	51
A7EJERNB7IK3Z	2	20	22	0.200000	0.80000000	0.5	1.0	51	51	51
A3MKKQT9ECS0S6	2	3	42	0.000000	1.00000000	0.5	1.0	29	48	48
A279XQT50MB44R	3	3	4	0.000000	1.00000000	0.5	1.0	51	51	51
A2B0KZ54I63XNX	2	3	32	0.300000	0.70000000	0.5	1.0	51	51	51
A1D8KV88A3D7IZ	4	3	139	0.300000	0.70000000	0.5	1.0	18	13	18
A1CYKFUPE5ZGBA	2	4	12	0.200000	0.80000000	0.5	1.0	34	29	30
A2X6FC7OXFB61U	0	3	8	0.200000	0.80000000	0.5	1.0	51	51	51
A37XBQWYQ1N1FF	1	12	3	0.400000	0.60000000	0.5	1.0	23	42	35
A3FGWQHVQGOAGL	3	10	19	0.100000	0.90000000	0.5	1.0	51	51	51
A17LDNW8GIFID1	4	3	3	0.200000	0.80000000	0.5	1.0	51	51	51
AK9N3O4FT8DNQ	4	5	50	0.400000	0.60000000	0.5	1.0	51	51	51
A198M311Q3VRYF	4	3	12	0.200000	0.80000000	0.5	1.0	51	51	51
AN05GBGE65X9J	2	4	23	0.200000	0.80000000	0.5	1.0	3	1	1
