user_id	fold
AQW172A5SG5OC	0
A3E9UK6ANIX73Q	1
A38N7SFDOB3MR3	0
A1BR7B2D7QXL83	1
A3JLBL62FPGY98	1
A3VNB1W7N079T2	1
A1P9UMP1XSE6MI	4
A18AO94P2ZIEF3	4
A2BRAVOAYRHDVR	1
A2F0AYUD1X0AMV	3
A2B8O4VOUC1Y5B	4
A1LG1DKUZXGJ6J	3
A18CF71GKLDS48	3
A2BFEMPHZAZE80	1
A2UAQ83AY3C3CY	2
A7EJERNB7IK3Z	2
A3MKKQT9ECS0S6	2
A279XQT50MB44R	3
A2B0KZ54I63XNX	2
A1D8KV88A3D7IZ	4
A1CYKFUPE5ZGBA	2
A2X6FC7OXFB61U	0
A37XBQWYQ1N1FF	1
A3FGWQHVQGOAGL	3
A17LDNW8GIFID1	4
AK9N3O4FT8DNQ	4
A198M311Q3VRYF	4
AN05GBGE65X9J	2
A35NGY49ZY896M	3
A1BP92HYW0HQST	1
A144U5041CFKQR	0
A3VAGT9TQUS9WE	4
A2RXOQQCU6Z2X8	2
A2OETFZ7IA6XSQ	3
A1N03V52IRZ5PR	0
A17B2QIN8RVRBJ	3
AO9XKAUG5XH22	2
A3G7BEJJCPD6DS	2
A1V23RXLRBR73T	4
A3N9DRV2RSEU6Y	4
A25OJH02IZ86EP	4
A2OD23539QMZS5	1
A2M87ULJS7K5TQ	3
A2R9PCIR3X3CAC	2
A1CM9DM8R7ODFX	0
A2CBPT24N2SQDJ	4
A9RTRKZM3IEOY	0
A3BRSKXH5657SJ	3
A2NN8PP67SRX44	0
A2J8P71K1DWF6J	1
A3SU0OXYEQXLEK	2
A316PEISP38C8O	1
A3ARXE2KRSM0VF	3
AQ1XM9TPJZ5MR	1
AW9BJULSBM5Q	4
A3UKTZTJRBF719	0
A2WP8B9T3X61P0	3
A2AVTJPQVX4OWG	4
A5V4PMU0M4ILG	2
A3M450F1MI9G5X	4
A1AGUB4IUV7MFU	0
ARIDN94LOCQFD	2
A38K7SSI5890AP	0
A1KHLGSQO7G7J0	1
AEXG2O420LTLY	4
A1O9TQSCKSLG9J	3
APB9ABGPIWISR	1
ARJ30AM9A4VPS	4
A3MJ6KO3BG5PSX	2
A2ILF5254TTZ98	2
ADLYO655RWJUI	1
A1VSD1TTO9LTA6	2
A4PPZNQF1X2IY	0
A2XOGLJ3V3X7DR	0
A2H2W4UV8OHUDI	1
A7YLDDB1MZP8H	0
A1KU2VHK8BECRW	3
AK9QPADLB9CV0	1
A2I1B7GHNP1JTA	1
A234HXDATOAYEY	4
A2IJZWRR8GJ9A	1
A4ONPTKOHKXPB	4
ALYO802XSAPL7	4
ASSJWXLNP773X	2
A31ORAA66G2I2P	0
AUMB4GTLYFGY9	1
A139KRFZTCSJE6	1
A3S2TOPDUII9K0	1
ASB4QQBKZD6W2	2
A241UDYWOGCAGX	0
A1JTTI1KH3DOCY	4
A1BOJE4E44MYW6	4
A1PVOHZGN3G8VN	3
A238ZSESNZ0OPF	1
A2KB9VJBOMIC4Y	2
A102DV5B0MSC68	0
A1VLDIHYXRTMAH	3
A3RRHT01JBVE5N	0
A2B8V5HGXLYIDV	1
A3A2AVD40MO6QT	2
A2OW5HR1083Q0G	3
A2380HQZW3LHP	1
A1II2ZRPKZAQQD	0
A1IDAKX7OM3QIE	0
A16QWJNSAWFCQ4	1
A1ZR54GWZM4QYK	4
A1A4QTASZGJL3W	4
A3R4GFCDXI93C1	1
A14UOOROH3XRQ9	2
A265B1IZE5RVG6	2
A2L6QS8SVHT9RG	4
A6879F1Z2OQVX	2
A3UOJ4RLVUUDMI	4
APDPA11IZPYLN	0
A45B33GH6R0FJ	2
A2OXB18PCWKLX1	3
A1FJ5KR8PK0QF1	4
A3UBR469X3HQF9	0
A31JC6RV4951A0	3
A1D0PIT85H5VO9	1
A23TGI02RB7JC	3
A2PFI4YA2DW1RF	1
A3DTP68HT6DBJL	2
A3N27L13CWJ9HY	0
A1AK05CHLZX3GF	0
A3TOH9LAG3SVDJ	0
A26AYSYQM0TBNI	3
A2C1R5BBL1WXTB	2
A27S42MP4XMHV5	1
ARHXHJ2NX9Q1Y	3
AQ0Y2DX63QGNB	1
AFICF7DKHTQ87	0
A1JFETASTBHVJB	1
A384GILMVNUQXT	2
AUTXXHPDWKEOL	3
AU503FDD0DI4K	1
A12HI8X1Y0NU6O	2
A2H1L3WQ0RUO4M	4
A2OOLI2WFY4L2	2
A6HHN1BJB7PDO	4
A1NSRBEA58I0FB	4
A3SDHJV8D9BYM	0
A2XOGQZH6L5U2H	1
A2NTIDRF1329W8	4
A1OZGV36KIAUEZ	1
A2X186408TL18S	1
A1DM78KNH8K1UN	4
A70GLR2U4JSX9	2
A14SIELSDKS5GR	0
A10O18BTQL8QBE	4
A32K817L9ULU8J	4
A3MW876EZJMTHH	3
A2H6M2IH5YN68J	3
A2RGEQ4EOILD9Q	2
A1HADVV7ZTJARK	2
A3JM4IBJ42RY2F	1
A18SK0IT354975	0
A2MKY6T9KE7I54	3
A2A07Z5PLR6AB9	3
A3ECKVQPQ1DCFL	3
A2KY6POA5T8URA	3
A2CEUUD4H3JV8D	1
A2RI25U0F857W2	1
A3HL1LRW4VDG6A	3
A1KHFO37SJWIRR	1
A1PI2MSVWR8LWR	1
A3V14SK22N2VAI	3
A3M7H9O909Y3GZ	4
A2MIHMKWI2D00L	0
A39UX5CZ9X2ZIO	3
A1XJPPTA54KCDT	4
ASNC7GK0GTHL8	1
A17437N1L775IJ	1
A2EDRI3WWKLJQR	4
A3JMI7T9UYNXU6	4
AS7K8X16DC2JH	3
A3V3RM9B1U8SC0	1
A2NI91THBOWI20	4
A1SNUCX9Z7WRF3	1
ALDAF4VVLFRHP	4
A7N9KA73W3PX2	1
AKMQZNN9X3H2I	0
A3NG7X4APIV649	4
A3F480ONRYTLXR	0
A31ADOKGF6S0MP	0
A2Y5R0F7U0AUV2	2
A3S8Z7ZLJIFP0I	3
A3JQ9SPK2QOTQT	4
A1CD2GFKM552DU	2
A1M92239OM8KPO	1
A1IBLDZKONGQ1P	2
A1Y1VKNAJOCD1G	2
A2NF4VDSPQ1S54	0
A2PHMUTKSOFKCF	1
A3R97FP9W5PQGV	2
A2KGYJFT0ZPRBB	3
A2LLAGJW7PKU9Z	1
A2BR12BYIGV1ER	0
A6T098A9B0GZC	2
A1M1QHVH6CXU4Q	0
AOS4WVF9W3L8L	4
A3K150BGUET5KI	2
A31ZGMY52UJ0FA	2
A14A08BE9EVH1M	0
A1LUTBKT54VUTJ	3
A37C5RZGEILMYU	4
AOX4AQIX6M5EK	2
A1ZBEIL78MLR9Z	0
A2K0FCG3I0PRPC	1
A1HDLJ15OO4LK	2
APLV1SMNDUMOY	3
A3QSU3E3G9JRJL	1
A2TN58XT8SBYY9	0
A3B35QW37Q5FKK	0
AK5EFXTR36OQ0	2
A12Q2GK5VY2TR9	1
AR7ZPLXAJ9YQ5	4
A2SQI5NLZFGF85	4
A161UJ11HHYTKS	1
A2BWLV1M3G8W27	4
A32RNRHTTCFS61	1
A3JCIET7XQRZWS	1
