user_id	candidate_overlap	sequence_top10_overlap	pcrf_top10_overlap	cached_baseline_rank	fresh_baseline_rank	cached_pcrf_rank	fresh_pcrf_rank
ASZ8W38C6GQPK	1.0	1.0	1.0	51	51	51	51
A369R4MUZCUI3D	1.0	1.0	1.0	51	51	51	51
A27AEZG2GO6OK2	1.0	1.0	1.0	51	51	51	51
A3N61N91YEIZ47	1.0	1.0	1.0	51	51	51	51
A3N5NRW1GQ8RXL	1.0	1.0	1.0	51	51	51	51
A3CQ5980OVK9GQ	1.0	1.0	1.0	51	51	51	51
A24F60FH23CSWL	1.0	1.0	1.0	51	51	51	51
A339D0QQYH0ZRG	1.0	1.0	1.0	3	3	2	2
A2G9P49SWMNJ5V	1.0	1.0	1.0	51	51	51	51
AW0IOR4AEEK46	1.0	1.0	1.0	5	5	8	8
A2Y71CUI7ILZSH	1.0	1.0	1.0	51	51	51	51
ANPTHLKNDONR5	1.0	1.0	1.0	51	51	51	51
A1954JA0H5WBJQ	1.0	1.0	1.0	51	51	51	51
A3UTB0QKXNY8CB	1.0	1.0	1.0	51	51	51	51
A2ZX3CGI6PM4X1	1.0	1.0	1.0	51	51	51	51
A35PNMSE7JVPK7	1.0	1.0	1.0	51	51	51	51
AOPWIKGDPRMX8	1.0	1.0	1.0	1	1	1	1
A3OOS2B1ZZBCHI	1.0	1.0	1.0	51	51	51	51
A9SUD7U1I40PB	1.0	1.0	1.0	51	51	51	51
A2R4NM7XJDHX13	1.0	1.0	1.0	51	51	51	51
A9TCBI8KIFJ0M	1.0	1.0	1.0	51	51	51	51
A24YTF4DFAMFXP	1.0	1.0	1.0	51	51	51	51
A2Q9B9WLL51Z70	1.0	1.0	1.0	51	51	51	51
A27144YLL9MNQS	1.0	1.0	1.0	51	51	51	51
A1RDIBJ0EPOIXF	1.0	1.0	1.0	51	51	51	51
A2MX85R9XJXO9I	1.0	1.0	1.0	51	51	51	51
A36LQ698RFJRYP	1.0	1.0	1.0	51	51	51	51
A1VH028NKF3A8	1.0	1.0	1.0	51	51	51	51
A29FYU0NWVEMMQ	1.0	1.0	1.0	51	51	51	51
A24N79JNVNFSBV	1.0	1.0	1.0	51	51	51	51
A3GTI284ZE3B6W	1.0	1.0	1.0	11	11	12	12
A1D1TYFB50XPJ2	1.0	1.0	1.0	51	51	51	51
A28JZ1ZMM80FXP	1.0	1.0	1.0	2	2	2	2
A2Y96MUF4VWAOW	1.0	1.0	1.0	16	16	14	14
A3W3ZIJ1XSW8SW	1.0	1.0	1.0	51	51	51	51
A2DRO0SFQ5C0UU	1.0	1.0	1.0	51	51	51	51
A3F1UYG3P3DGJS	1.0	1.0	1.0	51	51	51	51
A1EUT9DYQVQJ48	1.0	1.0	1.0	51	51	51	51
A2VG3TH6IMOVKM	1.0	1.0	1.0	51	51	51	51
ACPSENP0EQE49	1.0	1.0	1.0	51	51	51	51
A3VPZFFS8IO08A	1.0	1.0	1.0	51	51	51	51
A301SYVALW58GF	1.0	1.0	1.0	51	51	51	51
A1N7HHTP02O4VU	1.0	1.0	1.0	51	51	51	51
A3MPWZNB1K8J1G	1.0	1.0	1.0	51	51	51	51
ACPYT9KCCKX6X	1.0	1.0	1.0	51	51	51	51
A1MXJVANURX26J	1.0	1.0	1.0	51	51	51	51
AZQOGNBVDKWR0	1.0	1.0	1.0	51	51	51	51
A21R8JYHVCJOV5	1.0	1.0	1.0	51	51	51	51
